eBird/Clements Name,Macaulay Audio Total,GenBank species,GB_Nucleotide_Seqs
Clibanornis rufipectus,36,Clibanornis rufipectus,0
Climacteris affinis,2,Climacteris affinis,0
Climacteris erythrops,9,Climacteris erythrops,29
Climacteris melanurus,2,Climacteris melanurus,0
Climacteris picumnus,25,Climacteris picumnus,84
Climacteris rufus,15,Climacteris rufus,45
Clytoceyx rex,5,Clytoceyx rex,8
Clytoctantes alixii,25,Clytoctantes alixii,0
Clytoctantes atrogularis,8,Clytoctantes atrogularis,0
Clytolaema rubricauda,28,Clytolaema rubricauda,8
Clytomyias insignis,9,Clytomyias insignis,47
Clytorhynchus hamlini,21,Clytorhynchus hamlini,12
Clytorhynchus nigrogularis,10,Clytorhynchus nigrogularis,14
Clytorhynchus pachycephaloides,12,Clytorhynchus pachycephaloides,14
Clytorhynchus sanctaecrucis,0,Clytorhynchus sanctaecrucis,0
Clytorhynchus vitiensis,37,Clytorhynchus vitiensis,42
Clytospiza monteiri,1,Clytospiza monteiri,2
Cnemarchus erythropygius,11,Cnemarchus erythropygius,8
Cnemathraupis aureodorsalis,11,Cnemathraupis aureodorsalis,4
Cnemathraupis eximia,9,Cnemathraupis eximia,22
Cnemophilus loriae,1,Cnemophilus loriae,28
Cnemophilus macgregorii,6,Cnemophilus macgregorii,2
Cnemoscopus rubrirostris,28,Cnemoscopus rubrirostris,7
Cnemotriccus fuscatus,175,Cnemotriccus fuscatus,72
Cnipodectes subbrunneus,128,Cnipodectes subbrunneus,14
Cnipodectes superrufus,20,Cnipodectes superrufus,0
Coccopygia bocagei,0,Coccopygia bocagei,0
Coccopygia melanotis,17,Coccopygia melanotis,3
Coccopygia quartinia,13,Coccopygia quartinia,2
Coccothraustes abeillei,60,Coccothraustes abeillei,0
Coccothraustes coccothraustes,164,Coccothraustes coccothraustes,377
Coccothraustes vespertinus,2279,Coccothraustes vespertinus,35
Coccycua cinerea,9,Coccycua cinerea,3
Coccycua minuta,55,Coccycua minuta,8
Coccycua pumila,8,Coccycua pumila,0
Coccyzus americanus,1740,Coccyzus americanus,92
Coccyzus erythropthalmus,1216,Coccyzus erythropthalmus,12
Coccyzus euleri,29,Coccyzus euleri,1
Coccyzus ferrugineus,1,Coccyzus ferrugineus,0
Coccyzus lansbergi,12,Coccyzus lansbergi,0
Coccyzus longirostris,27,Coccyzus longirostris,3
Coccyzus melacoryphus,70,Coccyzus melacoryphus,14
Coccyzus merlini,31,Coccyzus merlini,1
Coccyzus minor,123,Coccyzus minor,4
Coccyzus pluvialis,12,Coccyzus pluvialis,0
Coccyzus rufigularis,7,Coccyzus rufigularis,0
Coccyzus vetula,11,Coccyzus vetula,1
Coccyzus vieilloti,17,Coccyzus vieilloti,1
Cochlearius cochlearius,56,Cochlearius cochlearius,59
Cochoa azurea,5,Cochoa azurea,0
Cochoa beccarii,1,Cochoa beccarii,0
Cochoa purpurea,12,Cochoa purpurea,5
Cochoa viridis,19,Cochoa viridis,10
Coeligena bonapartei,4,Coeligena bonapartei,77
Coeligena coeligena,23,Coeligena coeligena,173
Coeligena helianthea,1,Coeligena helianthea,52
Coeligena iris,15,Coeligena iris,28
Coeligena lutetiae,32,Coeligena lutetiae,24
Coeligena orina,6,Coeligena orina,27
Coeligena phalerata,6,Coeligena phalerata,10
Coeligena prunellei,5,Coeligena prunellei,16
Coeligena torquata,8,Coeligena torquata,181
Coeligena violifer,9,Coeligena violifer,26
Coeligena wilsoni,10,Coeligena wilsoni,16
Coenocorypha aucklandica,4,Coenocorypha aucklandica,271
Coenocorypha barrierensis,0,Coenocorypha barrierensis,0
Coenocorypha huegeli,1,Coenocorypha huegeli,84
Coenocorypha iredalei,0,Coenocorypha iredalei,0
Coenocorypha pusilla,4,Coenocorypha pusilla,77
Coereba flaveola,789,Coereba flaveola,1164
Colaptes atricollis,10,Colaptes atricollis,12
Colaptes auratus,2693,Colaptes auratus,86
Colaptes auricularis,21,Colaptes auricularis,8
Colaptes campestris,74,Colaptes campestris,17
Colaptes chrysoides,127,Colaptes chrysoides,12
Colaptes fernandinae,19,Colaptes fernandinae,3
Colaptes melanochloros,122,Colaptes melanochloros,45
Colaptes oceanicus,0,Colaptes oceanicus,0
Colaptes pitius,51,Colaptes pitius,16
Colaptes punctigula,50,Colaptes punctigula,18
Colaptes rivolii,108,Colaptes rivolii,24
Colaptes rubiginosus,224,Colaptes rubiginosus,33
Colaptes rupicola,77,Colaptes rupicola,18
Colibri coruscans,227,Colibri coruscans,1524
Colibri cyanotus,318,Colibri cyanotus,0
Colibri delphinae,102,Colibri delphinae,8
Colibri serrirostris,49,Colibri serrirostris,6
Colibri thalassinus,154,Colibri thalassinus,195
Colinus cristatus,140,Colinus cristatus,136
Colinus nigrogularis,35,Colinus nigrogularis,35
Colinus virginianus,1215,Colinus virginianus,2087
Colius castanotus,0,Colius castanotus,0
Colius colius,12,Colius colius,74
Colius leucocephalus,3,Colius leucocephalus,2
Colius striatus,32,Colius striatus,86108
Collocalia affinis,3,Collocalia affinis,24
Collocalia dodgei,0,Collocalia dodgei,5
Collocalia esculenta,10,Collocalia esculenta,85
Collocalia isonota,1,Collocalia isonota,4
Collocalia linchi,0,Collocalia linchi,33
Collocalia marginata,2,Collocalia marginata,6
Collocalia natalis,0,Collocalia natalis,3
Collocalia neglecta,0,Collocalia neglecta,1
Collocalia sumbawae,0,Collocalia sumbawae,4
Collocalia troglodytes,2,Collocalia troglodytes,7
Collocalia uropygialis,1,Collocalia uropygialis,5
Colluricincla boweri,18,Colluricincla boweri,6
Colluricincla harmonica,385,Colluricincla harmonica,552
Colluricincla megarhyncha,89,Colluricincla megarhyncha,850
Colluricincla tenebrosa,0,Colluricincla tenebrosa,27
Colluricincla woodwardi,3,Colluricincla woodwardi,10
Colonia colonus,118,Colonia colonus,34
Colorhamphus parvirostris,62,Colorhamphus parvirostris,11
Columba albinucha,0,Columba albinucha,0
Columba albitorques,3,Columba albitorques,0
Columba argentina,0,Columba argentina,0
Columba arquatrix,13,Columba arquatrix,11
Columba bollii,5,Columba bollii,23
Columba delegorguei,13,Columba delegorguei,0
Columba elphinstonii,15,Columba elphinstonii,16
Columba eversmanni,0,Columba eversmanni,0
Columba guinea,27,Columba guinea,13
Columba hodgsonii,0,Columba hodgsonii,5
Columba iriditorques,13,Columba iriditorques,4
Columba janthina,17,Columba janthina,51
Columba jouyi,0,Columba jouyi,2
Columba junoniae,1,Columba junoniae,14
Columba larvata,12,Columba larvata,4
Columba leucomela,10,Columba leucomela,0
Columba leuconota,10,Columba leuconota,3
Columba livia,291,Columba livia,72877
Columba malherbii,5,Columba malherbii,2
Columba oenas,62,Columba oenas,12
Columba oliviae,0,Columba oliviae,0
Columba pallidiceps,8,Columba pallidiceps,0
Columba palumboides,5,Columba palumboides,0
Columba palumbus,209,Columba palumbus,361
Columba pollenii,0,Columba pollenii,0
Columba pulchricollis,8,Columba pulchricollis,7
Columba punicea,0,Columba punicea,0
Columba rupestris,6,Columba rupestris,21
Columba sjostedti,0,Columba sjostedti,0
Columba thiriouxi,0,Columba thiriouxi,0
Columba thomensis,0,Columba thomensis,3
Columba torringtoniae,4,Columba torringtoniae,0
Columba trocaz,0,Columba trocaz,11
Columba unicincta,17,Columba unicincta,0
Columba versicolor,0,Columba versicolor,0
Columba vitiensis,18,Columba vitiensis,5
Columbina buckleyi,14,Columbina buckleyi,6
Columbina cruziana,56,Columbina cruziana,40
Columbina cyanopis,24,Columbina cyanopis,0
Columbina inca,267,Columbina inca,21
Columbina minuta,52,Columbina minuta,12
Columbina passerina,247,Columbina passerina,129
Columbina picui,55,Columbina picui,24
Columbina squammata,92,Columbina squammata,21
Columbina talpacoti,118,Columbina talpacoti,33
Compsothraupis loricata,20,Compsothraupis loricata,3
Conioptilon mcilhennyi,26,Conioptilon mcilhennyi,13
Conirostrum albifrons,21,Conirostrum albifrons,4
Conirostrum bicolor,39,Conirostrum bicolor,8
Conirostrum binghami,40,Conirostrum binghami,6
Conirostrum cinereum,51,Conirostrum cinereum,267
Conirostrum ferrugineiventre,4,Conirostrum ferrugineiventre,6
Conirostrum leucogenys,11,Conirostrum leucogenys,2
Conirostrum margaritae,32,Conirostrum margaritae,6
Conirostrum rufum,12,Conirostrum rufum,1
Conirostrum sitticolor,44,Conirostrum sitticolor,5
Conirostrum speciosum,69,Conirostrum speciosum,8
Conirostrum tamarugense,8,Conirostrum tamarugense,2
Conopias albovittatus,43,Conopias albovittatus,3
Conopias cinchoneti,49,Conopias cinchoneti,0
Conopias parvus,111,Conopias parvus,3
Conopias trivirgatus,50,Conopias trivirgatus,0
Conopophaga ardesiaca,21,Conopophaga ardesiaca,19
Conopophaga aurita,48,Conopophaga aurita,63
Conopophaga castaneiceps,52,Conopophaga castaneiceps,21
Conopophaga cearae,14,Conopophaga cearae,12
Conopophaga lineata,153,Conopophaga lineata,467
Conopophaga melanogaster,32,Conopophaga melanogaster,11
Conopophaga melanops,65,Conopophaga melanops,77
Conopophaga peruviana,21,Conopophaga peruviana,19
Conopophaga roberti,5,Conopophaga roberti,17
Conopophila albogularis,7,Conopophila albogularis,4
Conopophila rufogularis,1,Conopophila rufogularis,5
Conopophila whitei,7,Conopophila whitei,2
Conostoma aemodium,17,Conostoma aemodium,27
Conothraupis mesoleuca,3,Conothraupis mesoleuca,0
Conothraupis speculigera,18,Conothraupis speculigera,6
Contopus albogularis,4,Contopus albogularis,0
Contopus caribaeus,49,Contopus caribaeus,6
Contopus cinereus,200,Contopus cinereus,15
Contopus cooperi,1121,Contopus cooperi,18
Contopus fumigatus,157,Contopus fumigatus,10
Contopus hispaniolensis,13,Contopus hispaniolensis,6
Contopus latirostris,10,Contopus latirostris,7
Contopus lugubris,20,Contopus lugubris,4
Contopus nigrescens,55,Contopus nigrescens,15
Contopus ochraceus,13,Contopus ochraceus,6
Contopus pallidus,18,Contopus pallidus,0
Contopus pertinax,286,Contopus pertinax,7
Contopus sordidulus,1080,Contopus sordidulus,34
Contopus virens,2176,Contopus virens,14
Conuropsis carolinensis,0,Conuropsis carolinensis,4
Copsychus albiventris,14,Copsychus albiventris,0
Copsychus albospecularis,97,Copsychus albospecularis,34
Copsychus cebuensis,9,Copsychus cebuensis,1
Copsychus fulicatus,309,Copsychus fulicatus,9
Copsychus luzoniensis,31,Copsychus luzoniensis,131
Copsychus malabaricus,459,Copsychus malabaricus,95
Copsychus mindanensis,32,Copsychus mindanensis,7
Copsychus niger,3,Copsychus niger,6
Copsychus pyrropygus,34,Copsychus pyrropygus,19
Copsychus saularis,1399,Copsychus saularis,168
Copsychus sechellarum,1,Copsychus sechellarum,4
Copsychus superciliaris,2,Copsychus superciliaris,0
Coracias abyssinicus,10,Coracias abyssinicus,7
Coracias affinis,14,Coracias affinis,0
Coracias benghalensis,132,Coracias benghalensis,3
Coracias caudatus,27,Coracias caudatus,68
Coracias cyanogaster,2,Coracias cyanogaster,1
Coracias garrulus,35,Coracias garrulus,55
Coracias naevius,12,Coracias naevius,0
Coracias spatulatus,7,Coracias spatulatus,6
Coracias temminckii,5,Coracias temminckii,0
Coracina atriceps,1,Coracina atriceps,3
Coracina bicolor,2,Coracina bicolor,4
Coracina boyeri,1,Coracina boyeri,4
Coracina caeruleogrisea,3,Coracina caeruleogrisea,5
Coracina caesia,13,Coracina caesia,9
Coracina caledonica,11,Coracina caledonica,8
Coracina cinerea,15,Coracina cinerea,5
Coracina cucullata,1,Coracina cucullata,0
Coracina dobsoni,3,Coracina dobsoni,0
Coracina fortis,0,Coracina fortis,0
Coracina graueri,0,Coracina graueri,6
Coracina ingens,0,Coracina ingens,1
Coracina javensis,5,Coracina javensis,1
Coracina larvata,10,Coracina larvata,3
Coracina leucopygia,0,Coracina leucopygia,4
Coracina lineata,10,Coracina lineata,32
Coracina longicauda,8,Coracina longicauda,4
Coracina macei,113,Coracina macei,8
Coracina maxima,11,Coracina maxima,4
Coracina novaehollandiae,73,Coracina novaehollandiae,13
Coracina papuensis,28,Coracina papuensis,26
Coracina pectoralis,10,Coracina pectoralis,6
Coracina personata,1,Coracina personata,1
Coracina schistacea,3,Coracina schistacea,1
Coracina striata,26,Coracina striata,22
Coracina temminckii,6,Coracina temminckii,4
Coracina welchmani,0,Coracina welchmani,1
Coracopsis barklyi,1,Coracopsis barklyi,10
Coracopsis nigra,53,Coracopsis nigra,29
Coracopsis vasa,15,Coracopsis vasa,28
Coracornis raveni,0,Coracornis raveni,5
Coracornis sanghirensis,0,Coracornis sanghirensis,5
Coragyps atratus,123,Coragyps atratus,68
Corapipo altera,48,Corapipo altera,54986
Corapipo gutturalis,25,Corapipo gutturalis,7
Corapipo leucorrhoa,11,Corapipo leucorrhoa,5
Corcorax melanorhamphos,75,Corcorax melanorhamphos,42
Cormobates leucophaea,157,Cormobates leucophaea,26
Cormobates placens,10,Cormobates placens,15
Corvinella corvina,15,Corvinella corvina,4
Corvinella melanoleuca,21,Corvinella melanoleuca,0
Corvus albicollis,18,Corvus albicollis,11
Corvus albus,57,Corvus albus,16
Corvus bennetti,11,Corvus bennetti,11
Corvus brachyrhynchos,3276,Corvus brachyrhynchos,47362
Corvus capensis,22,Corvus capensis,3
Corvus caurinus,184,Corvus caurinus,12
Corvus corax,3134,Corvus corax,1624
Corvus cornix,95,Corvus cornix,39287
Corvus corone,358,Corvus corone,3827
Corvus coronoides,127,Corvus coronoides,45
Corvus crassirostris,8,Corvus crassirostris,4
Corvus cryptoleucus,118,Corvus cryptoleucus,163
Corvus dauuricus,6,Corvus dauuricus,20
Corvus edithae,4,Corvus edithae,3
Corvus enca,48,Corvus enca,20
Corvus florensis,6,Corvus florensis,4
Corvus frugilegus,109,Corvus frugilegus,260
Corvus fuscicapillus,1,Corvus fuscicapillus,4
Corvus hawaiiensis,17,Corvus hawaiiensis,8
Corvus imparatus,22,Corvus imparatus,1
Corvus insularis,6,Corvus insularis,4
Corvus jamaicensis,17,Corvus jamaicensis,3
Corvus kubaryi,9,Corvus kubaryi,14
Corvus leucognaphalus,26,Corvus leucognaphalus,2
Corvus macrorhynchos,617,Corvus macrorhynchos,421
Corvus meeki,1,Corvus meeki,2
Corvus mellori,91,Corvus mellori,16
Corvus monedula,227,Corvus monedula,38
Corvus moneduloides,13,Corvus moneduloides,50966
Corvus nasicus,31,Corvus nasicus,3
Corvus orru,103,Corvus orru,15
Corvus ossifragus,2288,Corvus ossifragus,13
Corvus palmarum,35,Corvus palmarum,9
Corvus pectoralis,8,Corvus pectoralis,8
Corvus rhipidurus,41,Corvus rhipidurus,5
Corvus ruficollis,8,Corvus ruficollis,5
Corvus sinaloae,30,Corvus sinaloae,4
Corvus splendens,665,Corvus splendens,156
Corvus tasmanicus,68,Corvus tasmanicus,19
Corvus tristis,7,Corvus tristis,6
Corvus typicus,11,Corvus typicus,5
Corvus unicolor,11,Corvus unicolor,2
Corvus validus,5,Corvus validus,3
Corvus violaceus,2,Corvus violaceus,2
Corvus woodfordi,6,Corvus woodfordi,8
Corydon sumatranus,25,Corydon sumatranus,8
Coryphaspiza melanotis,27,Coryphaspiza melanotis,6
Coryphistera alaudina,37,Coryphistera alaudina,19
Coryphospingus cucullatus,96,Coryphospingus cucullatus,61
Coryphospingus pileatus,48,Coryphospingus pileatus,5
Corythaeola cristata,43,Corythaeola cristata,38
Corythaixoides concolor,25,Corythaixoides concolor,12
Corythaixoides leucogaster,35,Corythaixoides leucogaster,9
Corythaixoides personatus,4,Corythaixoides personatus,5
Corythopis delalandi,117,Corythopis delalandi,15
Corythopis torquatus,162,Corythopis torquatus,27
Corythornis cristatus,9,Corythornis cristatus,40
Corythornis leucogaster,2,Corythornis leucogaster,61
Corythornis madagascariensis,4,Corythornis madagascariensis,20
Corythornis vintsioides,4,Corythornis vintsioides,8
Coscoroba coscoroba,41,Coscoroba coscoroba,163
Cossypha albicapillus,11,Cossypha albicapillus,8
Cossypha anomala,14,Cossypha anomala,11
Cossypha archeri,7,Cossypha archeri,11
Cossypha caffra,76,Cossypha caffra,296
Cossypha cyanocampter,34,Cossypha cyanocampter,6
Cossypha dichroa,31,Cossypha dichroa,25
Cossypha heinrichi,4,Cossypha heinrichi,0
Cossypha heuglini,120,Cossypha heuglini,12
Cossypha humeralis,28,Cossypha humeralis,8
Cossypha isabellae,11,Cossypha isabellae,3
Cossypha natalensis,59,Cossypha natalensis,66
Cossypha niveicapilla,29,Cossypha niveicapilla,14
Cossypha polioptera,10,Cossypha polioptera,10
Cossypha semirufa,81,Cossypha semirufa,10
Cossyphicula roberti,4,Cossyphicula roberti,1
Cotinga amabilis,7,Cotinga amabilis,2
Cotinga cayana,8,Cotinga cayana,17
Cotinga cotinga,3,Cotinga cotinga,11
Cotinga maculata,0,Cotinga maculata,1
Cotinga maynana,2,Cotinga maynana,12
Cotinga nattererii,3,Cotinga nattererii,3
Cotinga ridgwayi,4,Cotinga ridgwayi,1
Coturnicops exquisitus,3,Coturnicops exquisitus,7
Coturnicops notatus,2,Coturnicops notatus,0
Coturnicops noveboracensis,350,Coturnicops noveboracensis,23
Coturnix coromandelica,170,Coturnix coromandelica,0
Coturnix coturnix,272,Coturnix coturnix,658
Coturnix delegorguei,23,Coturnix delegorguei,32
Coturnix japonica,8,Coturnix japonica,52939
Coturnix novaezelandiae,0,Coturnix novaezelandiae,12
Coturnix pectoralis,46,Coturnix pectoralis,9
Coua caerulea,43,Coua caerulea,2
Coua coquereli,24,Coua coquereli,0
Coua cristata,32,Coua cristata,62
Coua cursor,2,Coua cursor,2
Coua delalandei,0,Coua delalandei,0
Coua gigas,28,Coua gigas,0
Coua reynaudii,21,Coua reynaudii,3
Coua ruficeps,12,Coua ruficeps,2
Coua serriana,13,Coua serriana,2
Coua verreauxi,2,Coua verreauxi,0
Cracticus argenteus,1,Cracticus argenteus,193
Cracticus cassicus,11,Cracticus cassicus,23
Cracticus louisiadensis,0,Cracticus louisiadensis,3
Cracticus mentalis,3,Cracticus mentalis,107
Cracticus nigrogularis,173,Cracticus nigrogularis,147
Cracticus quoyi,40,Cracticus quoyi,173
Cracticus torquatus,179,Cracticus torquatus,345
Cranioleuca albicapilla,54,Cranioleuca albicapilla,11
Cranioleuca albiceps,11,Cranioleuca albiceps,6
Cranioleuca antisiensis,83,Cranioleuca antisiensis,19
Cranioleuca curtata,67,Cranioleuca curtata,6
Cranioleuca demissa,27,Cranioleuca demissa,14
Cranioleuca dissita,3,Cranioleuca dissita,3
Cranioleuca erythrops,98,Cranioleuca erythrops,9
Cranioleuca gutturata,37,Cranioleuca gutturata,5
Cranioleuca hellmayri,44,Cranioleuca hellmayri,3
Cranioleuca henricae,11,Cranioleuca henricae,3
Cranioleuca marcapatae,46,Cranioleuca marcapatae,6
Cranioleuca muelleri,8,Cranioleuca muelleri,3
Cranioleuca obsoleta,57,Cranioleuca obsoleta,6
Cranioleuca pallida,63,Cranioleuca pallida,3
Cranioleuca pyrrhophia,128,Cranioleuca pyrrhophia,24
Cranioleuca semicinerea,17,Cranioleuca semicinerea,3
Cranioleuca subcristata,51,Cranioleuca subcristata,8
Cranioleuca vulpecula,52,Cranioleuca vulpecula,6
Cranioleuca vulpina,84,Cranioleuca vulpina,3
Crateroscelis murina,50,Crateroscelis murina,4
Crateroscelis nigrorufa,3,Crateroscelis nigrorufa,4
Crateroscelis robusta,51,Crateroscelis robusta,8
Crax alberti,20,Crax alberti,19
Crax alector,38,Crax alector,102
Crax blumenbachii,10,Crax blumenbachii,18
Crax daubentoni,11,Crax daubentoni,19
Crax fasciolata,46,Crax fasciolata,37
Crax globulosa,12,Crax globulosa,24
Crax rubra,55,Crax rubra,191
Creagrus furcatus,15,Creagrus furcatus,15
Creatophora cinerea,14,Creatophora cinerea,27
Creurgops dentatus,2,Creurgops dentatus,8
Creurgops verticalis,5,Creurgops verticalis,8
Crex crex,100,Crex crex,19
Crex egregia,1,Crex egregia,0
Crinifer piscator,26,Crinifer piscator,34
Crinifer zonurus,4,Crinifer zonurus,3
Criniger barbatus,24,Criniger barbatus,29
Criniger calurus,27,Criniger calurus,79
Criniger chloronotus,10,Criniger chloronotus,22
Criniger ndussumensis,5,Criniger ndussumensis,31
Criniger olivaceus,11,Criniger olivaceus,17
Crithagra albogularis,20,Crithagra albogularis,21
Crithagra ankoberensis,8,Crithagra ankoberensis,0
Crithagra atrogularis,4,Crithagra atrogularis,2
Crithagra buchanani,10,Crithagra buchanani,0
Crithagra burtoni,6,Crithagra burtoni,133
Crithagra canicapilla,3,Crithagra canicapilla,0
Crithagra capistrata,0,Crithagra capistrata,7
Crithagra citrinelloides,7,Crithagra citrinelloides,19
Crithagra citrinipectus,0,Crithagra citrinipectus,9
Crithagra concolor,1,Crithagra concolor,116
Crithagra donaldsoni,4,Crithagra donaldsoni,0
Crithagra dorsostriata,10,Crithagra dorsostriata,23
Crithagra flavigula,6,Crithagra flavigula,0
Crithagra flaviventris,21,Crithagra flaviventris,63
Crithagra frontalis,5,Crithagra frontalis,0
Crithagra gularis,17,Crithagra gularis,7
Crithagra hyposticta,18,Crithagra hyposticta,5
Crithagra koliensis,0,Crithagra koliensis,0
Crithagra leucoptera,6,Crithagra leucoptera,0
Crithagra leucopygia,5,Crithagra leucopygia,22
Crithagra melanochroa,1,Crithagra melanochroa,1
Crithagra menachensis,4,Crithagra menachensis,0
Crithagra mennelli,5,Crithagra mennelli,8
Crithagra mozambica,53,Crithagra mozambica,27
Crithagra reichardi,11,Crithagra reichardi,5
Crithagra reichenowi,23,Crithagra reichenowi,0
Crithagra rothschildi,5,Crithagra rothschildi,0
Crithagra rufobrunnea,5,Crithagra rufobrunnea,1002
Crithagra scotops,10,Crithagra scotops,1
Crithagra striolata,35,Crithagra striolata,13
Crithagra sulphurata,14,Crithagra sulphurata,9
Crithagra symonsi,5,Crithagra symonsi,0
Crithagra totta,3,Crithagra totta,4
Crithagra tristriata,6,Crithagra tristriata,0
Crithagra whytii,0,Crithagra whytii,5
Crithagra xantholaema,4,Crithagra xantholaema,0
Crithagra xanthopygia,2,Crithagra xanthopygia,0
Crocias albonotatus,6,Crocias albonotatus,5
Crocias langbianis,9,Crocias langbianis,5
Crossleyia xanthophrys,18,Crossleyia xanthophrys,7
Crossoptilon auritum,4,Crossoptilon auritum,316
Crossoptilon crossoptilon,8,Crossoptilon crossoptilon,1208
Crossoptilon harmani,11,Crossoptilon harmani,385
Crossoptilon mantchuricum,4,Crossoptilon mantchuricum,373
Crotophaga ani,330,Crotophaga ani,34
Crotophaga major,89,Crotophaga major,16
Crotophaga sulcirostris,255,Crotophaga sulcirostris,74
Crypsirina cucullata,3,Crypsirina cucullata,0
Crypsirina temia,23,Crypsirina temia,4
Cryptillas victorini,43,Cryptillas victorini,6
Cryptoleucopteryx plumbea,19,Cryptoleucopteryx plumbea,14
Cryptophaps poecilorrhoa,0,Cryptophaps poecilorrhoa,0
Cryptopipo holochlora,7,Cryptopipo holochlora,11
Cryptospiza jacksoni,2,Cryptospiza jacksoni,0
Cryptospiza reichenovii,5,Cryptospiza reichenovii,16
Cryptospiza salvadorii,3,Cryptospiza salvadorii,0
Cryptospiza shelleyi,0,Cryptospiza shelleyi,2
Cryptosylvicola randrianasoloi,12,Cryptosylvicola randrianasoloi,10
Crypturellus atrocapillus,30,Crypturellus atrocapillus,0
Crypturellus bartletti,41,Crypturellus bartletti,0
Crypturellus berlepschi,11,Crypturellus berlepschi,0
Crypturellus boucardi,70,Crypturellus boucardi,0
Crypturellus brevirostris,5,Crypturellus brevirostris,3
Crypturellus casiquiare,9,Crypturellus casiquiare,0
Crypturellus cinereus,245,Crypturellus cinereus,3
Crypturellus cinnamomeus,123,Crypturellus cinnamomeus,1
Crypturellus duidae,28,Crypturellus duidae,0
Crypturellus erythropus,131,Crypturellus erythropus,1
Crypturellus kerriae,9,Crypturellus kerriae,0
Crypturellus noctivagus,26,Crypturellus noctivagus,0
Crypturellus obsoletus,218,Crypturellus obsoletus,1
Crypturellus parvirostris,76,Crypturellus parvirostris,8
Crypturellus ptaritepui,2,Crypturellus ptaritepui,0
Crypturellus soui,412,Crypturellus soui,82
Crypturellus strigulosus,67,Crypturellus strigulosus,6
Crypturellus tataupa,155,Crypturellus tataupa,6
Crypturellus transfasciatus,25,Crypturellus transfasciatus,0
Crypturellus undulatus,202,Crypturellus undulatus,10
Crypturellus variegatus,97,Crypturellus variegatus,4
Cuculus canorus,603,Cuculus canorus,32238
Cuculus clamosus,65,Cuculus clamosus,0
Cuculus crassirostris,5,Cuculus crassirostris,0
Cuculus gularis,15,Cuculus gularis,4
Cuculus lepidus,26,Cuculus lepidus,0
Cuculus micropterus,232,Cuculus micropterus,25
Cuculus optatus,73,Cuculus optatus,14
Cuculus poliocephalus,68,Cuculus poliocephalus,47
Cuculus rochii,28,Cuculus rochii,2
Cuculus saturatus,51,Cuculus saturatus,22
Cuculus solitarius,83,Cuculus solitarius,0
Culicicapa ceylonensis,237,Culicicapa ceylonensis,80
Culicicapa helianthea,15,Culicicapa helianthea,11
Culicivora caudacuta,43,Culicivora caudacuta,15
Curaeus curaeus,121,Curaeus curaeus,11
Cursorius coromandelicus,0,Cursorius coromandelicus,0
Cursorius cursor,4,Cursorius cursor,0
Cursorius rufus,3,Cursorius rufus,0
Cursorius somalensis,0,Cursorius somalensis,0
Cursorius temminckii,3,Cursorius temminckii,17
Cutia legalleni,8,Cutia legalleni,5
Cutia nipalensis,33,Cutia nipalensis,28
Cyanerpes caeruleus,24,Cyanerpes caeruleus,47
Cyanerpes cyaneus,75,Cyanerpes cyaneus,79
Cyanerpes lucidus,15,Cyanerpes lucidus,4
Cyanerpes nitidus,8,Cyanerpes nitidus,5
Cyanicterus cyanicterus,26,Cyanicterus cyanicterus,6
Cyanistes caeruleus,678,Cyanistes caeruleus,73721
Cyanistes cyanus,16,Cyanistes cyanus,105
Cyanistes teneriffae,60,Cyanistes teneriffae,1593
Cyanochen cyanoptera,8,Cyanochen cyanoptera,15
Cyanocitta cristata,4143,Cyanocitta cristata,32
Cyanocitta stelleri,1216,Cyanocitta stelleri,85
Cyanocompsa parellina,85,Cyanocompsa parellina,11
Cyanocorax affinis,124,Cyanocorax affinis,12
Cyanocorax beecheii,16,Cyanocorax beecheii,4
Cyanocorax caeruleus,54,Cyanocorax caeruleus,2
Cyanocorax cayanus,67,Cyanocorax cayanus,16
Cyanocorax chrysops,140,Cyanocorax chrysops,25
Cyanocorax cristatellus,55,Cyanocorax cristatellus,9
Cyanocorax cyanomelas,84,Cyanocorax cyanomelas,16
Cyanocorax cyanopogon,43,Cyanocorax cyanopogon,8
Cyanocorax dickeyi,35,Cyanocorax dickeyi,9
Cyanocorax heilprini,7,Cyanocorax heilprini,4
Cyanocorax melanocyaneus,56,Cyanocorax melanocyaneus,13
Cyanocorax mystacalis,47,Cyanocorax mystacalis,11
Cyanocorax sanblasianus,18,Cyanocorax sanblasianus,4
Cyanocorax violaceus,163,Cyanocorax violaceus,10
Cyanocorax yncas,501,Cyanocorax yncas,25
Cyanocorax yucatanicus,78,Cyanocorax yucatanicus,9
Cyanoderma ambiguum,16,Cyanoderma ambiguum,20
Cyanoderma chrysaeum,61,Cyanoderma chrysaeum,37
Cyanoderma erythropterum,68,Cyanoderma erythropterum,50
Cyanoderma melanothorax,10,Cyanoderma melanothorax,3
Cyanoderma pyrrhops,23,Cyanoderma pyrrhops,10
Cyanoderma ruficeps,129,Cyanoderma ruficeps,1688
Cyanoderma rufifrons,45,Cyanoderma rufifrons,16
Cyanograucalus azureus,6,Cyanograucalus azureus,5
Cyanolanius madagascarinus,11,Cyanolanius madagascarinus,25
Cyanolimnas cerverai,0,Cyanolimnas cerverai,0
Cyanoliseus patagonus,70,Cyanoliseus patagonus,503
Cyanoloxia brissonii,162,Cyanoloxia brissonii,23
