eBird/Clements Name,Macaulay Audio Total,GenBank species,GB_Nucleotide_Seqs
Acrocephalus rodericanus,46,Acrocephalus rodericanus,2
Acrocephalus rufescens,9,Acrocephalus rufescens,23
Acrocephalus schoenobaenus,364,Acrocephalus schoenobaenus,3634
Acrocephalus scirpaceus,557,Acrocephalus scirpaceus,632
Acrocephalus sechellensis,1,Acrocephalus sechellensis,277
Acrocephalus sorghophilus,0,Acrocephalus sorghophilus,0
Acrocephalus stentoreus,331,Acrocephalus stentoreus,27
Acrocephalus syrinx,10,Acrocephalus syrinx,15
Acrocephalus taiti,1,Acrocephalus taiti,41
Acrocephalus tangorum,33,Acrocephalus tangorum,19
Acrocephalus vaughani,3,Acrocephalus vaughani,9
Acrocephalus yamashinae,0,Acrocephalus yamashinae,6
Acropternis orthonyx,129,Acropternis orthonyx,6
Acryllium vulturinum,5,Acryllium vulturinum,30
Actenoides bougainvillei,0,Actenoides bougainvillei,6
Actenoides concretus,27,Actenoides concretus,12
Actenoides hombroni,2,Actenoides hombroni,5
Actenoides lindsayi,15,Actenoides lindsayi,11
Actenoides monachus,5,Actenoides monachus,2
Actenoides princeps,1,Actenoides princeps,2
Actinodura cyanouroptera,37,Actinodura cyanouroptera,45
Actinodura egertoni,31,Actinodura egertoni,33
Actinodura morrisoniana,12,Actinodura morrisoniana,21
Actinodura nipalensis,13,Actinodura nipalensis,17
Actinodura ramsayi,20,Actinodura ramsayi,23
Actinodura sodangorum,8,Actinodura sodangorum,0
Actinodura souliei,0,Actinodura souliei,21
Actinodura strigula,67,Actinodura strigula,29
Actinodura waldeni,12,Actinodura waldeni,18
Actitis hypoleucos,268,Actitis hypoleucos,314
Actitis macularius,787,Actitis macularius,28
Actophilornis africanus,15,Actophilornis africanus,11
Actophilornis albinucha,6,Actophilornis albinucha,0
Adelomyia melanogenys,111,Adelomyia melanogenys,297
Aechmophorus clarkii,74,Aechmophorus clarkii,18
Aechmophorus occidentalis,132,Aechmophorus occidentalis,17
Aegithalos caudatus,444,Aegithalos caudatus,1067
Aegithalos concinnus,111,Aegithalos concinnus,2226
Aegithalos fuliginosus,1,Aegithalos fuliginosus,277
Aegithalos glaucogularis,19,Aegithalos glaucogularis,15
Aegithalos iouschistos,11,Aegithalos iouschistos,276
Aegithalos leucogenys,0,Aegithalos leucogenys,7
Aegithalos niveogularis,18,Aegithalos niveogularis,49
Aegithina lafresnayei,9,Aegithina lafresnayei,0
Aegithina nigrolutea,74,Aegithina nigrolutea,0
Aegithina tiphia,721,Aegithina tiphia,40
Aegithina viridissima,19,Aegithina viridissima,6
Aegolius acadicus,2211,Aegolius acadicus,133
Aegolius funereus,239,Aegolius funereus,108
Aegolius gradyi,0,Aegolius gradyi,0
Aegolius harrisii,65,Aegolius harrisii,2
Aegolius ridgwayi,51,Aegolius ridgwayi,0
Aegotheles affinis,0,Aegotheles affinis,4
Aegotheles albertisi,3,Aegotheles albertisi,15
Aegotheles archboldi,0,Aegotheles archboldi,8
Aegotheles bennettii,7,Aegotheles bennettii,20
Aegotheles crinifrons,4,Aegotheles crinifrons,4
Aegotheles cristatus,112,Aegotheles cristatus,46
Aegotheles insignis,3,Aegotheles insignis,73
Aegotheles savesi,0,Aegotheles savesi,2
Aegotheles tatei,1,Aegotheles tatei,4
Aegotheles wallacii,0,Aegotheles wallacii,8
Aegypius monachus,1,Aegypius monachus,65
Aepypodius arfakianus,0,Aepypodius arfakianus,21
Aepypodius bruijnii,0,Aepypodius bruijnii,10
Aerodramus amelis,0,Aerodramus amelis,0
Aerodramus bartschi,0,Aerodramus bartschi,4
Aerodramus brevirostris,1,Aerodramus brevirostris,24
Aerodramus ceramensis,1,Aerodramus ceramensis,0
Aerodramus elaphrus,0,Aerodramus elaphrus,13
Aerodramus francicus,2,Aerodramus francicus,7
Aerodramus fuciphagus,6,Aerodramus fuciphagus,693
Aerodramus germani,5,Aerodramus germani,44
Aerodramus hirundinaceus,3,Aerodramus hirundinaceus,2
Aerodramus infuscatus,1,Aerodramus infuscatus,0
Aerodramus inquietus,2,Aerodramus inquietus,0
Aerodramus leucophaeus,0,Aerodramus leucophaeus,4
Aerodramus maximus,1,Aerodramus maximus,93
Aerodramus mearnsi,1,Aerodramus mearnsi,2
Aerodramus nuditarsus,0,Aerodramus nuditarsus,0
Aerodramus ocistus,1,Aerodramus ocistus,21
Aerodramus orientalis,0,Aerodramus orientalis,0
Aerodramus papuensis,0,Aerodramus papuensis,2
Aerodramus pelewensis,0,Aerodramus pelewensis,0
Aerodramus salangana,0,Aerodramus salangana,26
Aerodramus sawtelli,3,Aerodramus sawtelli,9
Aerodramus sororum,0,Aerodramus sororum,9
Aerodramus spodiopygius,9,Aerodramus spodiopygius,25
Aerodramus terraereginae,0,Aerodramus terraereginae,9
Aerodramus unicolor,10,Aerodramus unicolor,0
Aerodramus vanikorensis,3,Aerodramus vanikorensis,59
Aerodramus vulcanorum,0,Aerodramus vulcanorum,3
Aerodramus whiteheadi,0,Aerodramus whiteheadi,3
Aeronautes andecolus,27,Aeronautes andecolus,1
Aeronautes montivagus,39,Aeronautes montivagus,0
Aeronautes saxatalis,162,Aeronautes saxatalis,11
Aethia cristatella,17,Aethia cristatella,192
Aethia psittacula,17,Aethia psittacula,73
Aethia pusilla,41,Aethia pusilla,51
Aethia pygmaea,105,Aethia pygmaea,94
Aethopyga bella,3,Aethopyga bella,0
Aethopyga boltoni,3,Aethopyga boltoni,39
Aethopyga christinae,63,Aethopyga christinae,26
Aethopyga decorosa,4,Aethopyga decorosa,0
Aethopyga duyvenbodei,1,Aethopyga duyvenbodei,5
Aethopyga eximia,7,Aethopyga eximia,0
Aethopyga flagrans,2,Aethopyga flagrans,25
Aethopyga gouldiae,32,Aethopyga gouldiae,19
Aethopyga guimarasensis,0,Aethopyga guimarasensis,0
Aethopyga ignicauda,23,Aethopyga ignicauda,11
Aethopyga jefferyi,3,Aethopyga jefferyi,0
Aethopyga linaraborae,4,Aethopyga linaraborae,15
Aethopyga magnifica,3,Aethopyga magnifica,0
Aethopyga mystacalis,2,Aethopyga mystacalis,0
Aethopyga nipalensis,83,Aethopyga nipalensis,18
Aethopyga primigenia,0,Aethopyga primigenia,14
