PetersTaxonomy	InClements?
Chlorocichla_laetissima	Clements
Chlorocichla_simplex	Clements
Chloropeta_gracilirostris	No
Chloropeta_natalensis	No
Chloropeta_similis	No
Chlorophanes_spiza	Clements
Chlorophonia_cyanea	Clements
Chlorophonia_flavirostris	Clements
Chlorophonia_occipitalis	Clements
Chlorophonia_pyrrhophrys	Clements
Chloropipo_flavicapilla	Clements
Chloropipo_holochlora	No
Chloropipo_unicolor	Clements
Chloropipo_uniformis	No
Chloropsis_aurifrons	Clements
Chloropsis_cochinchinensis	Clements
Chloropsis_cyanopogon	Clements
Chloropsis_flavipennis	Clements
Chloropsis_hardwickei	Close
Chloropsis_palawanensis	Clements
Chloropsis_sonnerati	Clements
Chloropsis_venusta	Clements
Chlorornis_riefferii	Clements
Chlorospingus_canigularis	Clements
Chlorospingus_flavigularis	Clements
Chlorospingus_flavovirens	Clements
Chlorospingus_inornatus	Clements
Chlorospingus_ophthalmicus	No
Chlorospingus_parvirostris	Clements
Chlorospingus_pileatus	Clements
Chlorospingus_punctulatus	No
Chlorospingus_semifuscus	Clements
Chlorospingus_tacarcunae	Clements
Chlorospingus_zeledoni	No
Chlorostilbon_alice	Clements
Chlorostilbon_auratus	No
Chlorostilbon_aureoventris	No
Chlorostilbon_canivetii	Clements
Chlorostilbon_euchloris	No
Chlorostilbon_gibsoni	Clements
Chlorostilbon_inexpectatus	No
Chlorostilbon_maugaeus	Clements
Chlorostilbon_poortmani	Clements
Chlorostilbon_prasinus	No
Chlorostilbon_ricordii	Clements
Chlorostilbon_russatus	Clements
Chlorostilbon_stenura	No
Chlorostilbon_swainsonii	Clements
Chlorostilbon_vitticeps	No
Chlorothraupis_carmioli	Clements
Chlorothraupis_olivacea	Clements
Chlorothraupis_stolzmanni	Clements
Chondestes_grammacus	Clements
Chondrohierax_megarhynchus	No
Chondrohierax_uncinatus	Clements
Chondrohierax_wilsonii	No
Chordeiles_acutipennis	Clements
Chordeiles_minor	Clements
Chordeiles_pusillus	Clements
Chordeiles_rupestris	Clements
Choriotis_arabs	No
Choriotis_australis	No
Choriotis_kori	No
Choriotis_nigriceps	No
Chrysococcyx_caprius	Clements
Chrysococcyx_cupreus	Clements
Chrysococcyx_flavigularis	Clements
Chrysococcyx_klaas	Clements
Chrysocolaptes_festivus	Clements
Chrysocolaptes_lucidus	Clements
Chrysocolaptes_validus	No
Chrysoena_luteovirens	No
Chrysoena_victor	No
Chrysoena_viridis	No
Chrysolampis_mosquitus	Clements
Chrysolophus_amherstiae	Clements
Chrysolophus_pictus	Clements
Chrysomma_sinense	Clements
Chrysoptilus_atricollis	No
Chrysoptilus_melanochloros	No
Chrysoptilus_punctigula	No
Chrysothlypis_chrysomelas	Clements
Chrysothlypis_salmoni	Clements
Chrysuronia_oenone	Clements
Chthonicola_sagittata	No
Chubbia_imperialis	No
Chubbia_jamesoni	No
Chubbia_stricklandii	No
Chunga_burmeisteri	Clements
Ciccaba_albitarsus	Close
Ciccaba_huhula	Clements
Ciccaba_nigrolineata	Clements
Ciccaba_virgata	Clements
Ciccaba_woodfordii	No
Cichladusa_arquata	Clements
Cichladusa_guttata	Clements
Cichladusa_ruficauda	Clements
Cichlherminia_lherminieri	No
Cichlocolaptes_leucophrus	Clements
Cichlornis_grosvenori	No
Cichlornis_llaneae	No
Cichlornis_whitneyi	No
Cicinnurus_regius	Clements
Ciconia_abdimii	Clements
Ciconia_ciconia	Clements
Ciconia_episcopus	Clements
Ciconia_maguari	Clements
Ciconia_nigra	Clements
Cinclidium_diana	No
Cinclidium_frontale	Clements
Cinclidium_leucurum	No
Cinclocerthia_ruficauda	Clements
Cinclodes_antarcticus	Clements
Cinclodes_atacamensis	Clements
Cinclodes_comechingonus	Clements
Cinclodes_excelsior	Clements
Cinclodes_fuscus	Clements
Cinclodes_nigrofumosus	Clements
Cinclodes_oustaleti	Clements
Cinclodes_palliatus	Clements
Cinclodes_patagonicus	Clements
Cinclodes_taczanowskii	Clements
Cincloramphus_cruralis	Clements
Cincloramphus_mathewsi	Clements
Cinclosoma_ajax	Clements
Cinclosoma_castanotum	Clements
Cinclosoma_cinnamomeum	Clements
Cinclosoma_punctatum	Clements
Cinclus_cinclus	Clements
Cinclus_leucocephalus	Clements
Cinclus_mexicanus	Clements
Cinclus_pallasii	Clements
Cinnycerthia_peruana	Clements
Cinnycerthia_unirufa	Clements
Cinnyricinclus_femoralis	No
Cinnyricinclus_leucogaster	Clements
Cinnyricinclus_sharpii	No
Circaetus_cinerascens	Clements
Circaetus_cinerascens	Clements
Circaetus_cinereus	Clements
Circaetus_cinereus	Clements
Circaetus_fasciolatus	Clements
Circaetus_fasciolatus	Clements
Circaetus_gallicus	Clements
Circaetus_gallicus	Clements
Circus_aeruginosus	Clements
Circus_approximans	Clements
Circus_assimilis	Clements
Circus_buffoni	Clements
Circus_cinereus	Clements
Circus_cyaneus	Clements
Circus_macrourus	Clements
Circus_maillardi	Clements
Circus_maurus	Clements
Circus_melanoleucos	Clements
Circus_melanoleucus	Close
Circus_pygargus	Clements
Circus_ranivorus	Clements
Circus_spilonotus	Clements
Ciridops_anna	Clements
Cissa_chinensis	Clements
Cissa_thalassina	Clements
Cissilopha_beecheii	No
Cissilopha_melanocyanea	No
Cissilopha_sanblasiana	No
Cissomela_pectoralis	Clements
Cissopis_leveriana	No
Cisticola_aberdare	Clements
Cisticola_aberrans	Clements
Cisticola_angusticauda	Clements
Cisticola_anonyma	No
Cisticola_aridula	No
Cisticola_ayresii	Clements
Cisticola_bodessa	Clements
Cisticola_brachyptera	No
Cisticola_brunnescens	Clements
Cisticola_bulliens	Clements
Cisticola_cantans	Clements
Cisticola_carruthersi	Clements
Cisticola_cherina	Clements
Cisticola_chiniana	Clements
Cisticola_chubbi	Clements
Cisticola_cinereola	No
Cisticola_dambo	Clements
Cisticola_erythrops	Clements
Cisticola_exilis	Clements
Cisticola_eximia	No
Cisticola_fulvicapilla	Clements
Cisticola_galactotes	Clements
Cisticola_haesitata	No
Cisticola_hunteri	Clements
Cisticola_incana	No
Cisticola_juncidis	Clements
Cisticola_lais	Clements
Cisticola_lateralis	Clements
Cisticola_lepe	No
Cisticola_melanura	No
Cisticola_nana	Clements
Cisticola_natalensis	Clements
Cisticola_nigriloris	Clements
Cisticola_njombe	Clements
Cisticola_pipiens	Clements
Cisticola_restricta	No
Cisticola_robusta	No
Cisticola_rufa	No
Cisticola_ruficeps	Clements
Cisticola_rufilata	No
Cisticola_subruficapilla	Clements
Cisticola_textrix	Clements
Cisticola_tinniens	Clements
Cisticola_troglodytes	Clements
Cisticola_woosnami	Clements
Cistothorus_apolinari	Clements
Cistothorus_meridae	Clements
Cistothorus_palustris	Clements
Cistothorus_platensis	Clements
Cittura_cyanotis	Clements
Cladorhynchus_leucocephala	No
Clamator_cafer	No
Clamator_coromandus	Clements
Clamator_glandarius	Clements
Clamator_jacobinus	Clements
Clamator_serratus	No
Clangula_hyemalis	Clements
Claravis_godefrida	No
Claravis_mondetoura	No
Claravis_pretiosa	Clements
Cleptornis_marchei	Clements
Clibanornis_dendrocolaptoides	Clements
Climacteris_affinis	Clements
Climacteris_erythrops	Clements
Climacteris_leucophaea	No
Climacteris_melanura	No
Climacteris_picumnus	Clements
Climacteris_rufa	No
Clytoceyx_rex	Clements
Clytoctantes_alixii	Clements
Clytolaema_rubricauda	Clements
Clytomyias_insignis	Clements
Clytorhynchus_hamlini	Clements
Clytorhynchus_nigrogularis	Clements
Clytorhynchus_pachycephaloides	Clements
Clytorhynchus_vitiensis	Clements
Clytospiza_monteiri	Clements
Cnemophilus_macgregorii	Clements
Cnemoscopus_rubrirostris	Clements
Cnemotriccus_fuscatus	Clements
Cnipodectes_subbrunneus	Clements
Coccothraustes_abeillei	Clements
Coccothraustes_affinis	No
Coccothraustes_carnipes	No
Coccothraustes_coccothraustes	Clements
Coccothraustes_icterioides	No
Coccothraustes_melanozanthos	No
Coccothraustes_migratorius	No
Coccothraustes_personatus	No
Coccothraustes_vespertinus	Clements
Coccyzus_americanus	Clements
Coccyzus_cinereus	No
Coccyzus_erythropthalmus	Clements
Coccyzus_euleri	Clements
Coccyzus_lansbergi	Clements
Coccyzus_melacoryphus	Clements
Coccyzus_minor	Clements
Coccyzus_pumilus	No
Cochlearius_cochlearius	Clements
Cochoa_azurea	Clements
Cochoa_purpurea	Clements
Cochoa_viridis	Clements
Coeligena_bonapartei	Clements
Coeligena_coeligena	Clements
Coeligena_eos	No
Coeligena_helianthea	Clements
Coeligena_iris	Clements
Coeligena_lutetiae	Clements
Coeligena_phalerata	Clements
Coeligena_prunellei	Clements
Coeligena_torquata	Clements
Coeligena_violifer	Clements
Coeligena_wilsoni	Clements
Coenocorypha_aucklandica	Clements
Coereba_flaveola	Clements
Colaptes_auratus	Clements
Colaptes_cafer	No
Colaptes_campestris	Clements
Colaptes_chrysoides	Clements
Colaptes_pitius	Clements
Colaptes_rupicola	Clements
Colibri_coruscans	Clements
Colibri_delphinae	Clements
Colibri_serrirostris	Clements
Colibri_thalassinus	Clements
Colinus_cristatus	Clements
Colinus_leucopogon	No
Colinus_nigrogularis	Clements
Colinus_virginianus	Clements
Colius_castanotus	Clements
Colius_colius	Clements
Colius_indicus	No
Colius_leucocephalus	Clements
Colius_macrourus	No
Colius_striatus	Clements
Collocalia_brevirostris	No
Collocalia_esculenta	Clements
Collocalia_francica	No
Collocalia_fuciphaga	No
Collocalia_gigas	No
Collocalia_hirundinacea	No
Collocalia_inexpectata	No
Collocalia_inquieta	No
Collocalia_leucophaea	No
Collocalia_lowi	No
Collocalia_marginata	Clements
Collocalia_spodiopygia	No
Collocalia_troglodytes	Clements
Collocalia_vanikorensis	No
Collocalia_vestita	No
Collocalia_whiteheadi	No
Colluricincla_boweri	Clements
Colluricincla_harmonica	Clements
Colluricincla_megarhyncha	Clements
Colluricincla_parvula	No
Colluricincla_woodwardi	Clements
Colonia_colonus	Clements
Columba_albilinea	No
Columba_albinucha	Clements
Columba_albitorques	Clements
Columba_araucana	No
Columba_argentina	Clements
Columba_arquatrix	Clements
Columba_caribaea	No
Columba_chiriquensis	No
Columba_delegorguei	Clements
Columba_elphinstonii	Clements
Columba_eversmanni	Clements
Columba_fasciata	No
Columba_flavirostris	No
Columba_goodsoni	No
Columba_guinea	Clements
Columba_gymnophtalmos	No
Columba_hodgsonii	Clements
Columba_inornata	No
Columba_iriditorques	Clements
Columba_janthina	Clements
Columba_jouyi	Clements
Columba_junoniae	Clements
Columba_leucocephala	No
Columba_leuconota	Clements
Columba_livia	Clements
Columba_maculosa	No
Columba_malherbii	Clements
Columba_nigrirostris	No
Columba_norfolciensis	No
Columba_oenas	Clements
Columba_oenops	No
Columba_oliviae	Clements
Columba_pallidiceps	Clements
Columba_palumboides	Clements
Columba_palumbus	Clements
Columba_picazuro	No
Columba_plumbea	No
Columba_pollenii	Clements
Columba_pulchricollis	Clements
Columba_punicea	Clements
Columba_purpureotincta	No
Columba_rufina	No
Columba_rupestris	Clements
Columba_speciosa	No
Columba_squamosa	No
Columba_subvinacea	No
Columba_thomensis	Clements
Columba_torringtoni	No
Columba_trocaz	Clements
Columba_unicincta	Clements
Columba_versicolor	Clements
Columba_vitiensis	Clements
Columbigallina_buckleyi	No
Columbigallina_cruziana	No
Columbigallina_minuta	No
Columbigallina_passerina	No
Columbigallina_talpacoti	No
Columbina_picui	Clements
Colymbus_auritus	No
Colymbus_chilensis	No
Colymbus_cristatus	No
Colymbus_grisegena	No
Colymbus_nigricollis	No
Colymbus_occipitalis	No
Colymbus_rolland	No
Colymbus_taczanowskii	No
Compsothraupis_loricata	Clements
Conioptilon_mcilhennyi	Clements
Conirostrum_albifrons	Clements
Conirostrum_bicolor	Clements
Conirostrum_cinereum	Clements
Conirostrum_ferrugineiventre	Clements
Conirostrum_leucogenys	Clements
Conirostrum_margaritae	Clements
Conirostrum_rufum	Clements
Conirostrum_sitticolor	Clements
Conirostrum_speciosum	Clements
Conopias_cinchoneti	Clements
Conopias_inornatus	No
Conopias_parva	No
Conopias_trivirgata	No
Conopophaga_ardesiaca	Clements
Conopophaga_aurita	Clements
Conopophaga_castaneiceps	Clements
Conopophaga_cearae	Clements
Conopophaga_lineata	Clements
Conopophaga_melanogaster	Clements
Conopophaga_melanops	Clements
Conopophaga_peruviana	Clements
Conopophaga_roberti	Clements
Conopophila_albogularis	Clements
Conopophila_picta	No
Conopophila_rufogularis	Clements
Conopophila_whitei	Clements
Conostoma_oemodium	No
Conothraupis_mesoleuca	Clements
Conothraupis_speculigera	Clements
Contopus_albogularis	Clements
Contopus_borealis	No
Contopus_caribaeus	Clements
Contopus_cinereus	Clements
Contopus_fumigatus	Clements
Contopus_latirostris	Clements
Contopus_nigrescens	Clements
Contopus_ochraceus	Clements
Contopus_sordidulus	Clements
Contopus_virens	Clements
Conuropsis_carolinensis	Clements
Copsychus_albospecularis	Clements
Copsychus_luzoniensis	Clements
Copsychus_malabaricus	Clements
Copsychus_niger	Clements
Copsychus_pyrropygus	Clements
Copsychus_saularis	Clements
Copsychus_sechellarum	Clements
Copsychus_stricklandii	No
Coracias_abyssinica	No
Coracias_benghalensis	Clements
Coracias_caudata	No
Coracias_cyanogaster	Clements
Coracias_garrulus	Clements
Coracias_noevia	No
Coracias_spatulata	No
Coracias_temminckii	Clements
Coracina_abbotti	No
Coracina_analis	No
Coracina_atriceps	Clements
Coracina_azurea	No
Coracina_bicolor	Clements
Coracina_boyeri	Clements
Coracina_caeruleogrisea	Clements
Coracina_caesia	Clements
Coracina_caledonica	Clements
Coracina_cinerea	Clements
Coracina_coerulescens	No
Coracina_dohertyi	No
Coracina_fimbriata	No
Coracina_fortis	Clements
Coracina_graueri	Clements
Coracina_holopolia	No
Coracina_larvata	Clements
Coracina_leucopygia	Clements
Coracina_lineata	Clements
Coracina_longicauda	Clements
Coracina_mcgregori	No
Coracina_melaena	No
Coracina_melanoptera	No
Coracina_melaschistos	No
Coracina_montana	No
Coracina_morio	No
Coracina_newtoni	No
Coracina_novaehollandiae	Clements
Coracina_panayensis	No
Coracina_papuensis	Clements
Coracina_parvula	No
Coracina_pectoralis	Clements
Coracina_polioptera	No
Coracina_pollens	No
Coracina_robusta	No
Coracina_schistacea	Clements
Coracina_schisticeps	No
Coracina_striata	Clements
Coracina_temminckii	Clements
Coracina_tenuirostris	No
Coracina_typica	No
Coracopsis_nigra	Clements
Coracopsis_vasa	Clements
Coragyps_atratus	Clements
Corapipo_gutturalis	Clements
Corapipo_leucorrhoa	Clements
Corcorax_melanorhamphos	Clements
Corvinella_corvina	Clements
Corvinella_melanoleuca	Clements
Corvus_albicollis	Clements
Corvus_albus	Clements
Corvus_bennetti	Clements
Corvus_brachyrhynchos	Clements
Corvus_capensis	Clements
Corvus_caurinus	Clements
Corvus_corax	Clements
Corvus_corone	Clements
Corvus_coronoides	Clements
Corvus_crassirostris	Clements
Corvus_cryptoleucus	Clements
Corvus_dauuricus	Clements
Corvus_enca	Clements
Corvus_florensis	Clements
Corvus_frugilegus	Clements
Corvus_fuscicapillus	Clements
Corvus_imparatus	Clements
Corvus_jamaicensis	Clements
Corvus_kubaryi	Clements
Corvus_leucognaphalus	Clements
Corvus_macrorhynchos	Clements
Corvus_monedula	Clements
Corvus_moneduloides	Clements
Corvus_nasicus	Clements
Corvus_orru	Clements
Corvus_ossifragus	Clements
Corvus_palmarum	Clements
Corvus_rhipidurus	Clements
Corvus_ruficollis	Clements
Corvus_splendens	Clements
Corvus_torquatus	No
Corvus_tristis	Clements
Corvus_tropicus	No
Corvus_typicus	Clements
Corvus_validus	Clements
Corvus_woodfordi	Clements
Corydon_sumatranus	Clements
Coryphaspiza_melanotis	Clements
Coryphistera_alaudina	Clements
Coryphoenas_crassirostris	No
Coryphospingus_cucullatus	Clements
Coryphospingus_pileatus	Clements
Corythaeola_cristata	Clements
Corythopis_delalandi	Clements
Corythopis_torquata	No
Coscoroba_coscoroba	Clements
Cosmopsarus_regius	No
Cosmopsarus_unicolor	No
Cossypha_albicapilla	No
Cossypha_anomala	Clements
Cossypha_ansorgei	No
Cossypha_archeri	Clements
Cossypha_bocagei	No
Cossypha_caffra	Clements
Cossypha_cyanocampter	Clements
Cossypha_dichroa	Clements
Cossypha_heinrichi	Clements
Cossypha_heuglini	Clements
Cossypha_humeralis	Clements
Cossypha_isabellae	Clements
Cossypha_natalensis	Clements
Cossypha_niveicapilla	Clements
Cossypha_polioptera	Clements
Cossypha_roberti	No
Cossypha_semirufa	Clements
Cotinga_amabilis	Clements
Cotinga_cayana	Clements
Cotinga_cotinga	Clements
Cotinga_maculata	Clements
Cotinga_maynana	Clements
Cotinga_nattererii	Clements
Cotinga_ridgwayi	Clements
Coturnicops_ayresi	No
Coturnicops_exquisita	No
Coturnicops_notata	No
Coturnicops_noveboracensis	Clements
Coturnix_coromandelica	Clements
Coturnix_coturnix	Clements
Coturnix_delegorguei	Clements
Coturnix_novaezelandiae	Clements
Coturnix_pectoralis	Clements
Coua_caerulea	Clements
Coua_coquereli	Clements
Coua_cristata	Clements
Coua_cursor	Clements
Coua_delalandei	Clements
Coua_gigas	Clements
Coua_reynaudii	Clements
Coua_ruficeps	Clements
Coua_serriana	Clements
Coua_verreauxi	Clements
Cracticus_cassicus	Clements
Cracticus_louisiadensis	Clements
Cracticus_mentalis	Clements
Cracticus_nigrogularis	Clements
Cracticus_quoyi	Clements
Cracticus_torquatus	Clements
Cranioleuca_albicapilla	Clements
Cranioleuca_albiceps	Clements
Cranioleuca_antisiensis	Clements
Cranioleuca_baroni	No
Cranioleuca_curtata	Clements
Cranioleuca_demissa	Clements
Cranioleuca_erythrops	Clements
Cranioleuca_furcata	No
Cranioleuca_gutturata	Clements
Cranioleuca_hellmayri	Clements
Cranioleuca_marcapatae	Clements
Cranioleuca_mulleri	No
Cranioleuca_obsoleta	Clements
Cranioleuca_pallida	Clements
Cranioleuca_pyrrhophia	Clements
Cranioleuca_semicinerea	Clements
Cranioleuca_subcristata	Clements
Cranioleuca_sulphurifera	No
Cranioleuca_vulpina	Clements
Crateroscelis_gutturalis	No
Crateroscelis_murina	Clements
Crateroscelis_nigrorufa	Clements
Crateroscelis_robusta	Clements
Crax_alberti	Clements
Crax_blumenbachii	Clements
Crax_fasciolata	Clements
Crax_globulosa	Clements
Crax_nigra	No
Crax_pinima	No
Crax_rubra	Clements
Creadion_carunculatus	No
Creagrus_furcatus	Clements
Creatophora_cinerea	Clements
Crecopsis_egregia	No
Creurgops_dentata	No
Creurgops_verticalis	Clements
Crex_crex	Clements
Crinifer_africanus	No
Crinifer_concolor	No
Crinifer_leucogaster	No
Crinifer_personata	No
Criniger_barbatus	Clements
Criniger_bres	No
Criniger_calurus	Clements
Criniger_finschii	No
Criniger_flaveolus	No
Criniger_ndussumensis	Clements
Criniger_ochraceus	No
Criniger_olivaceus	Clements
Criniger_pallidus	No
Criniger_phaeocephalus	No
Crocethia_alba	No
Crocias_albonotatus	Clements
Crocias_langbianis	Clements
Crossoptilon_auritum	Clements
Crossoptilon_crossoptilon	Clements
Crossoptilon_mantchuricum	Clements
Crotophaga_ani	Clements
Crotophaga_major	Clements
Crotophaga_sulcirostris	Clements
Crypsirina_cucullata	Clements
Crypsirina_temia	Clements
Cryptophaps_poecilorrhoa	Clements
Cryptoplectron_erythrorhynchum	No
Cryptoplectron_manipurensis	No
Cryptospiza_jacksoni	Clements
Cryptospiza_reichenovii	Clements
Cryptospiza_salvadorii	Clements
Cryptospiza_shelleyi	Clements
Crypturellus_atrocapillus	Clements
Crypturellus_bartletti	Clements
Crypturellus_berlepschi	Clements
Crypturellus_boucardi	Clements
Crypturellus_brevirostris	Clements
Crypturellus_casiquiare	Clements
Crypturellus_castaneus	No
Crypturellus_cinereus	Clements
Crypturellus_cinnamomeus	Clements
Crypturellus_columbianus	No
Crypturellus_duidae	Clements
Crypturellus_erythropus	Clements
Crypturellus_garleppi	No
Crypturellus_kerriae	Clements
Crypturellus_noctivagus	Clements
Crypturellus_obsoletus	Clements
Crypturellus_parvirostris	Clements
Crypturellus_ptaritepui	Clements
Crypturellus_rubripes	No
Crypturellus_soui	Clements
Crypturellus_strigulosus	Clements
Crypturellus_tataupa	Clements
Crypturellus_transfasciatus	Clements
Crypturellus_undulatus	Clements
Crypturellus_variegatus	Clements
Cuculus_canorus	Clements
Cuculus_clamosus	Clements
Cuculus_crassirostris	Clements
Cuculus_fugax	No
Cuculus_micropterus	Clements
Cuculus_pallidus	No
Cuculus_poliocephalus	Clements
Cuculus_saturatus	Clements
Cuculus_solitarius	Clements
Cuculus_sparverioides	No
Cuculus_vagans	No
Cuculus_varius	No
Culicicapa_ceylonensis	Clements
Culicicapa_helianthea	Clements
Culicivora_caudacuta	Clements
Curaeus_curaeus	Clements
Curaeus_forbesi	No
Cursorius_coromandelicus	Clements
Cursorius_cursor	Clements
Cursorius_temminckii	Clements
Cutia_nipalensis	Clements
Cyanerpes_caeruleus	Clements
Cyanerpes_cyaneus	Clements
Cyanerpes_lucidus	Clements
Cyanerpes_nitidus	Clements
Cyanicterus_cyanicterus	Clements
Cyanochen_cyanopterus	No
Cyanocitta_cristata	Clements
Cyanocitta_stelleri	Clements
Cyanocorax_affinis	Clements
Cyanocorax_caeruleus	Clements
Cyanocorax_cayanus	Clements
Cyanocorax_chrysops	Clements
Cyanocorax_cristatellus	Clements
Cyanocorax_cyanomelas	Clements
Cyanocorax_dickeyi	Clements
Cyanocorax_heilprini	Clements
Cyanocorax_mystacalis	Clements
Cyanocorax_violaceus	Clements
Cyanocorax_yncas	Clements
Cyanolimnas_cerverai	Clements
Cyanoliseus_patagonus	Clements
Cyanoliseus_whitleyi	No
Cyanolyca_argentigula	Clements
Cyanolyca_cucullata	Clements
Cyanolyca_mirabilis	Clements
Cyanolyca_nana	No
Cyanolyca_pulchra	Clements
Cyanolyca_pumilo	Clements
Cyanolyca_viridicyana	No
Cyanophaia_bicolor	Clements
Cyanopica_cyana	No
Cyanoptila_cyanomelana	Clements
Cyanoramphus_auriceps	Clements
Cyanoramphus_malherbi	Clements
Cyanoramphus_novaezelandiae	Clements
Cyanoramphus_ulietanus	Clements
Cyanoramphus_unicolor	Clements
Cyanoramphus_zealandicus	Clements
Cyclarhis_gujanensis	Clements
Cyclarhis_nigrirostris	Clements
Cyclorrhynchus_psittacula	No
Cygnopsis_cygnoid	No
Cygnus_atratus	Clements
Cygnus_bewickii	No
Cygnus_buccinator	Clements
Cygnus_columbianus	Clements
Cygnus_cygnus	Clements
Cygnus_melancoriphus	No
Cygnus_melanocoryphus	No
Cygnus_olor	Clements
Cymbilaimus_lineatus	Clements
Cymbirhynchus_macrorhynchos	Clements
Cynanthus_latirostris	Clements
Cynanthus_sordidus	Clements
Cyphorhinus_aradus	No
Cyphorhinus_thoracicus	Clements
Cypseloides_cherriei	Clements
Cypseloides_fumigatus	Clements
Cypseloides_major	No
Cypsiurus_parvus	Clements
Cypsnagra_hirundinacea	Clements
Cyrtonyx_montezumae	Clements
Cyrtonyx_ocellatus	Clements
Cyrtonyx_sallei	No
Dacelo_gaudichaud	Clements
Dacelo_leachii	Clements
Dacelo_novaeguineae	Clements
Dacelo_tyro	Clements
Dacnis_albiventris	Clements
Dacnis_berlepschi	Clements
Dacnis_cayana	Clements
Dacnis_flaviventer	Clements
Dacnis_hartlaubi	Clements
Dacnis_lineata	Clements
Dacnis_nigripes	Clements
Dacnis_venusta	Clements
Dacnis_viguieri	Clements
Dactylortyx_thoracicus	Clements
Damophila_julie	No
Daphoenositta_miranda	Clements
Daption_capense	Clements
Daption_capensis	No
Daptrius_americanus	No
Daptrius_ater	Clements
Dasylophus_superciliosus	Clements
Dasyornis_brachypterus	Clements
Dasyornis_broadbenti	Clements
Deconychura_longicauda	Clements
Deconychura_stictolaema	No
Delichon_dasypus	Clements
Delichon_nipalensis	No
Delichon_urbica	No
Delothraupis_castaneoventris	No
Deltarhynchus_flammulatus	Clements
Demigretta_asha	No
Demigretta_gularis	No
Demigretta_sacra	No
Dendragapus_obscurus	Clements
Dendrexetastes_rufigula	Clements
Dendrocincla_anabatina	Clements
Dendrocincla_fuliginosa	Clements
Dendrocincla_homochroa	Clements
Dendrocincla_merula	Clements
Dendrocincla_tyrannina	Clements
Dendrocitta_baileyi	No
Dendrocitta_formosae	Clements
Dendrocitta_frontalis	Clements
Dendrocitta_leucogastra	Clements
Dendrocitta_occipitalis	Clements
Dendrocitta_vagabunda	Clements
Dendrocolaptes_certhia	Clements
Dendrocolaptes_concolor	No
Dendrocolaptes_hoffmannsi	Clements
Dendrocolaptes_picumnus	Clements
Dendrocolaptes_platyrostris	Clements
Dendrocopos_albolarvatus	No
Dendrocopos_arizonae	No
Dendrocopos_assimilis	Clements
Dendrocopos_atratus	Clements
Dendrocopos_auriceps	No
Dendrocopos_borealis	No
Dendrocopos_canicapillus	No
Dendrocopos_cathpharius	No
Dendrocopos_darjellensis	Clements
Dendrocopos_dorae	No
Dendrocopos_himalayensis	Clements
Dendrocopos_hyperythrus	Clements
Dendrocopos_kizuki	No
Dendrocopos_leucopterus	Clements
Dendrocopos_leucotos	Clements
Dendrocopos_lignarius	No
Dendrocopos_macei	Clements
Dendrocopos_maculatus	No
Dendrocopos_mahrattensis	No
Dendrocopos_major	Clements
Dendrocopos_medius	No
Dendrocopos_minor	No
Dendrocopos_mixtus	No
Dendrocopos_moluccensis	No
Dendrocopos_nuttallii	No
Dendrocopos_obsoletus	No
Dendrocopos_pubescens	No
Dendrocopos_scalaris	No
Dendrocopos_stricklandi	No
Dendrocopos_syriacus	Clements
Dendrocopos_temminckii	No
Dendrocopos_villosus	No
Dendrocopos_wattersi	No
Dendrocygna_arborea	Clements
Dendrocygna_arcuata	Clements
Dendrocygna_autumnalis	Clements
Dendrocygna_bicolor	Clements
Dendrocygna_eytoni	Clements
Dendrocygna_guttata	Clements
Dendrocygna_javanica	Clements
Dendrocygna_viduata	Clements
Dendroica_adelaidae	No
Dendroica_caerulescens	No
Dendroica_castanea	No
Dendroica_cerulea	No
Dendroica_chrysoparia	No
Dendroica_coronata	No
Dendroica_discolor	No
Dendroica_dominica	No
Dendroica_fusca	No
Dendroica_graciae	No
Dendroica_kirtlandii	No
Dendroica_magnolia	No
Dendroica_nigrescens	No
Dendroica_occidentalis	No
Dendroica_palmarum	No
Dendroica_pensylvanica	No
Dendroica_petechia	No
Dendroica_pharetra	No
Dendroica_pinus	No
Dendroica_pityophila	No
Dendroica_plumbea	No
Dendroica_striata	No
Dendroica_tigrina	No
Dendroica_townsendi	No
Dendroica_virens	No
Dendroica_vitellina	No
Dendronanthus_indicus	Clements
Dendronessa_galericulata	No
Dendropicos_abyssinicus	No
Dendropicos_elachus	No
Dendropicos_fuscescens	No
Dendropicos_gabonensis	No
Dendropicos_lugubris	No
Dendropicos_poecilolaemus	No
Dendropicos_stierlingi	No
Dendrortyx_barbatus	Clements
Dendrortyx_hypospodius	No
Dendrortyx_leucophrys	Clements
Dendrortyx_macroura	Clements
Deroptyus_accipitrinus	Clements
Diardigallus_diardi	No
Dicaeum_aeneum	Clements
Dicaeum_aeruginosum	No
Dicaeum_agile	Clements
Dicaeum_annae	Clements
Dicaeum_anthonyi	Clements
Dicaeum_aureolimbatum	Clements
Dicaeum_australe	Clements
Dicaeum_bicolor	Clements
Dicaeum_celebicum	Clements
Dicaeum_chrysorrheum	Clements
Dicaeum_concolor	Clements
Dicaeum_cruentatum	Clements
Dicaeum_erythrorhynchos	Clements
Dicaeum_erythrothorax	Clements
Dicaeum_everetti	Clements
Dicaeum_eximium	Clements
Dicaeum_hirundinaceum	Clements
Dicaeum_hypoleucum	Clements
Dicaeum_igniferum	Clements
Dicaeum_ignipectus	Clements
Dicaeum_maugei	Clements
