PetersTaxonomy	InClements?
Agapornis_fischeri	Clements
Agapornis_lilianae	Clements
Agapornis_nigrigenis	Clements
Agapornis_personata	No
Agapornis_pullaria	No
Agapornis_roseicollis	Clements
Agapornis_swinderniana	No
Agapornis_taranta	Clements
Agelaius_cyanopus	No
Agelaius_humeralis	Clements
Agelaius_icterocephalus	No
Agelaius_phoeniceus	Clements
Agelaius_ruficapillus	No
Agelaius_thilius	No
Agelaius_tricolor	Clements
Agelaius_xanthomus	Clements
Agelastes_meleagrides	Clements
Aglaeactis_aliciae	Clements
Aglaeactis_castelnaudii	Clements
Aglaeactis_cupripennis	Clements
Aglaeactis_pamela	Clements
Aglaiocercus_coelestis	Clements
Aglaiocercus_emmae	No
Aglaiocercus_kingi	No
Agriocharis_ocellata	No
Agriornis_andicola	No
Agriornis_livida	No
Agriornis_microptera	No
Agriornis_montana	No
Agriornis_murina	No
Aidemosyne_modesta	No
Ailuroedus_buccoides	Clements
Ailuroedus_crassirostris	Clements
Aimophila_aestivalis	No
Aimophila_botterii	No
Aimophila_carpalis	No
Aimophila_cassinii	No
Aimophila_humeralis	No
Aimophila_mystacalis	No
Aimophila_notosticta	Clements
Aimophila_quinquestriata	No
Aimophila_rufescens	Clements
Aimophila_ruficauda	No
Aimophila_ruficeps	Clements
Aimophila_stolzmanni	No
Aimophila_strigiceps	No
Aimophila_sumichrasti	No
Aix_galericulata	Clements
Aix_sponsa	Clements
Ajaia_ajaja	No
Alaemon_alaudipes	Clements
Alaemon_hamertoni	Clements
Alauda_arvensis	Clements
Alauda_gulgula	Clements
Alca_torda	Clements
Alcedo_atthis	Clements
Alcedo_coerulescens	Clements
Alcedo_cristata	No
Alcedo_euryzona	Clements
Alcedo_hercules	Clements
Alcedo_leucogaster	No
Alcedo_meninting	Clements
Alcedo_quadribrachys	Clements
Alcedo_semitorquata	Clements
Alcippe_abyssinica	No
Alcippe_atriceps	No
Alcippe_brunnea	No
Alcippe_brunneicauda	Clements
Alcippe_castaneceps	No
Alcippe_chrysotis	No
Alcippe_cinerea	No
Alcippe_cinereiceps	No
Alcippe_morrisonia	Clements
Alcippe_nipalensis	Clements
Alcippe_peracensis	Clements
Alcippe_poioicephala	Clements
Alcippe_pyrrhoptera	Clements
Alcippe_ruficapilla	No
Alcippe_rufogularis	No
Alcippe_striaticollis	No
Alcippe_variegaticeps	Clements
Alcippe_vinipectus	No
Alectoris_barbara	Clements
Alectoris_graeca	Clements
Alectoris_melanocephala	Clements
Alectoris_rufa	Clements
Alectroenas_madagascariensis	Clements
Alectroenas_nitidissima	No
Alectroenas_pulcherrima	No
Alectroenas_sganzini	Clements
Alectrurus_risora	Clements
Alectrurus_tricolor	Clements
Alectura_lathami	Clements
Alethe_choloensis	No
Alethe_diademata	Clements
Alethe_fuelleborni	No
Alethe_lowei	No
Alethe_montana	No
Alethe_poliocephala	No
Alethe_poliophrys	No
Alisterus_amboinensis	Clements
Alisterus_chloropterus	Clements
Alisterus_scapularis	Clements
Allenia_fusca	Clements
Alopochelidon_fucata	Clements
Alopochen_aegyptiaca	Clements
Amadina_erythrocephala	Clements
Amadina_fasciata	Clements
Amalocichla_incerta	Clements
Amalocichla_sclateriana	Clements
Amandava_amandava	Clements
Amandava_formosa	No
Amandava_subflava	No
Amaurocichla_bocagii	No
Amaurolimnas_concolor	Clements
Amaurornis_akool	No
Amaurornis_isabellina	Clements
Amaurornis_olivacea	Clements
Amaurornis_phoenicurus	Clements
Amaurospiza_concolor	Clements
Amaurospiza_moesta	Clements
Amazilia_amabilis	Clements
Amazilia_amazilia	Clements
Amazilia_beryllina	Clements
Amazilia_boucardi	Clements
Amazilia_candida	Clements
Amazilia_castaneiventris	Clements
Amazilia_chionopectus	No
Amazilia_cyaneotincta	No
Amazilia_cyanifrons	Clements
Amazilia_cyanocephala	Clements
Amazilia_cyanura	Clements
Amazilia_edward	Clements
Amazilia_fimbriata	Clements
Amazilia_franciae	Clements
Amazilia_hollandi	No
Amazilia_lactea	Clements
Amazilia_leucogaster	Clements
Amazilia_luciae	Clements
Amazilia_microrhyncha	No
Amazilia_rosenbergi	Clements
Amazilia_rutila	Clements
Amazilia_saucerrottei	No
Amazilia_tobaci	Clements
Amazilia_tzacatl	Clements
Amazilia_veneta	No
Amazilia_versicolor	Clements
Amazilia_violiceps	Clements
Amazilia_viridigaster	Clements
Amazilia_yucatanensis	Clements
Amazona_aestiva	Clements
Amazona_agilis	Clements
Amazona_albifrons	Clements
Amazona_amazonica	Clements
Amazona_arausiaca	Clements
Amazona_autumnalis	Clements
Amazona_barbadensis	Clements
Amazona_brasiliensis	Clements
Amazona_collaria	Clements
Amazona_dufresniana	Clements
Amazona_farinosa	Clements
Amazona_festiva	Clements
Amazona_finschi	Clements
Amazona_guildingii	Clements
Amazona_imperialis	Clements
Amazona_leucocephala	Clements
Amazona_mercenaria	No
Amazona_ochrocephala	Clements
Amazona_pretrei	Clements
Amazona_ventralis	Clements
Amazona_versicolor	Clements
Amazona_vinacea	Clements
Amazona_viridigenalis	Clements
Amazona_vittata	Clements
Amazona_xantholora	Clements
Amazona_xanthops	No
Amazonetta_brasiliensis	Clements
Amblyornis_flavifrons	Clements
Amblyornis_inornatus	No
Amblyornis_macgregoriae	Clements
Amblyornis_subalaris	Clements
Amblyospiza_albifrons	Clements
Amblyramphus_holosericeus	Clements
Ammodramus_aurifrons	Clements
Ammodramus_baileyi	No
Ammodramus_bairdii	No
Ammodramus_caudacutus	No
Ammodramus_henslowii	No
Ammodramus_humeralis	Clements
Ammodramus_leconteii	No
Ammodramus_maritimus	No
Ammodramus_sandwichensis	No
Ammodramus_savannarum	Clements
Ammomanes_burrus	No
Ammomanes_cincturus	No
Ammomanes_deserti	Clements
Ammomanes_dunni	No
Ammomanes_grayi	No
Ammomanes_phoenicurus	No
