Xeno-canto Matched to eBird/Clements,No.Recordings,GenBank species,GB_Nucleotide_Seqs
Campylorhynchus brunneicapillus,185,Campylorhynchus brunneicapillus,78
Campylorhynchus chiapensis,35,Campylorhynchus chiapensis,3
Campylorhynchus fasciatus,75,Campylorhynchus fasciatus,10
Campylorhynchus griseus,101,Campylorhynchus griseus,6
Campylorhynchus gularis,48,Campylorhynchus gularis,3
Campylorhynchus jocosus,19,Campylorhynchus jocosus,3
Campylorhynchus megalopterus,30,Campylorhynchus megalopterus,4
Campylorhynchus nuchalis,22,Campylorhynchus nuchalis,5
Campylorhynchus rufinucha,106,Campylorhynchus rufinucha,47
Campylorhynchus turdinus,166,Campylorhynchus turdinus,7
Campylorhynchus yucatanicus,10,Campylorhynchus yucatanicus,5
Campylorhynchus zonatus,107,Campylorhynchus zonatus,12
Canirallus oculeus,0,Canirallus oculeus,1
Cantorchilus elutus,57,Cantorchilus elutus,0
Cantorchilus griseus,8,Cantorchilus griseus,0
Cantorchilus guarayanus,86,Cantorchilus guarayanus,2
Cantorchilus leucopogon,46,Cantorchilus leucopogon,1
Cantorchilus leucotis,370,Cantorchilus leucotis,9
Cantorchilus longirostris,184,Cantorchilus longirostris,10
Cantorchilus modestus,142,Cantorchilus modestus,4
Cantorchilus nigricapillus,235,Cantorchilus nigricapillus,26
Cantorchilus semibadius,69,Cantorchilus semibadius,2
Cantorchilus superciliaris,74,Cantorchilus superciliaris,3
Cantorchilus thoracicus,63,Cantorchilus thoracicus,7
Cantorchilus zeledoni,12,Cantorchilus zeledoni,1
Capito auratus,88,Capito auratus,52
Capito aurovirens,25,Capito aurovirens,5
Capito brunneipectus,4,Capito brunneipectus,2
Capito dayi,21,Capito dayi,11
Capito hypoleucus,33,Capito hypoleucus,0
Capito maculicoronatus,10,Capito maculicoronatus,8
Capito niger,14,Capito niger,70
Capito quinticolor,18,Capito quinticolor,4
Capito squamatus,15,Capito squamatus,4
Capito wallacei,13,Capito wallacei,42
Caprimulgus aegyptius,9,Caprimulgus aegyptius,5
Caprimulgus affinis,76,Caprimulgus affinis,5
Caprimulgus andamanicus,7,Caprimulgus andamanicus,0
Caprimulgus asiaticus,47,Caprimulgus asiaticus,0
Caprimulgus atripennis,40,Caprimulgus atripennis,0
Caprimulgus batesi,2,Caprimulgus batesi,6
Caprimulgus binotatus,14,Caprimulgus binotatus,0
Caprimulgus celebensis,8,Caprimulgus celebensis,0
Caprimulgus centralasicus,0,Caprimulgus centralasicus,0
Caprimulgus clarus,33,Caprimulgus clarus,0
Caprimulgus climacurus,18,Caprimulgus climacurus,5
Caprimulgus concretus,6,Caprimulgus concretus,0
Caprimulgus donaldsoni,6,Caprimulgus donaldsoni,0
Caprimulgus europaeus,794,Caprimulgus europaeus,26
Caprimulgus eximius,9,Caprimulgus eximius,3
Caprimulgus fossii,25,Caprimulgus fossii,6
Caprimulgus fraenatus,1,Caprimulgus fraenatus,1
Caprimulgus indicus,22,Caprimulgus indicus,18
Caprimulgus inornatus,2,Caprimulgus inornatus,1
Caprimulgus jotaka,54,Caprimulgus jotaka,2
Caprimulgus longipennis,6,Caprimulgus longipennis,4
Caprimulgus macrurus,156,Caprimulgus macrurus,16
Caprimulgus madagascariensis,27,Caprimulgus madagascariensis,3
Caprimulgus mahrattensis,2,Caprimulgus mahrattensis,0
Caprimulgus manillensis,19,Caprimulgus manillensis,8
Caprimulgus meesi,12,Caprimulgus meesi,0
Caprimulgus natalensis,17,Caprimulgus natalensis,0
Caprimulgus nigriscapularis,19,Caprimulgus nigriscapularis,3
Caprimulgus nubicus,8,Caprimulgus nubicus,4
Caprimulgus pectoralis,70,Caprimulgus pectoralis,3
Caprimulgus phalaena,1,Caprimulgus phalaena,0
Caprimulgus poliocephalus,35,Caprimulgus poliocephalus,3
Caprimulgus prigoginei,0,Caprimulgus prigoginei,1
Caprimulgus pulchellus,9,Caprimulgus pulchellus,0
Caprimulgus ruficollis,78,Caprimulgus ruficollis,0
Caprimulgus rufigena,22,Caprimulgus rufigena,7
Caprimulgus ruwenzorii,NA,Caprimulgus ruwenzorii,0
Caprimulgus solala,0,Caprimulgus solala,0
Caprimulgus stellatus,0,Caprimulgus stellatus,0
Caprimulgus tristigma,34,Caprimulgus tristigma,0
Caprimulgus vexillarius,5,Caprimulgus vexillarius,4
Capsiempis flaveola,207,Capsiempis flaveola,15
Caracara cheriway,56,Caracara cheriway,50
Caracara lutosa,0,Caracara lutosa,0
Caracara plancus,86,Caracara plancus,79
Cardellina canadensis,171,Cardellina canadensis,39
Cardellina pusilla,311,Cardellina pusilla,180
Cardellina rubra,48,Cardellina rubra,241
Cardellina rubrifrons,50,Cardellina rubrifrons,16
Cardellina versicolor,15,Cardellina versicolor,26
Cardinalis cardinalis,631,Cardinalis cardinalis,760
Cardinalis phoeniceus,26,Cardinalis phoeniceus,23
Cardinalis sinuatus,101,Cardinalis sinuatus,31
Carduelis carduelis,1286,Carduelis carduelis,383
Carduelis citrinella,108,Carduelis citrinella,42
Carduelis corsicana,36,Carduelis corsicana,17
Cariama cristata,80,Cariama cristata,69814
Caridonax fulgidus,14,Caridonax fulgidus,6
Carpococcyx radiceus,38,Carpococcyx radiceus,0
Carpococcyx renauldi,23,Carpococcyx renauldi,38
Carpococcyx viridis,15,Carpococcyx viridis,0
Carpodacus davidianus,7,Carpodacus davidianus,1
Carpodacus dubius,28,Carpodacus dubius,0
Carpodacus edwardsii,8,Carpodacus edwardsii,8
Carpodacus erythrinus,584,Carpodacus erythrinus,981
Carpodacus ferreorostris,0,Carpodacus ferreorostris,2
Carpodacus formosanus,6,Carpodacus formosanus,923
Carpodacus grandis,1,Carpodacus grandis,3
Carpodacus pulcherrimus,8,Carpodacus pulcherrimus,48
Carpodacus puniceus,18,Carpodacus puniceus,13
Carpodacus rhodochlamys,8,Carpodacus rhodochlamys,14
Carpodacus roborowskii,3,Carpodacus roborowskii,5
Carpodacus rodochroa,11,Carpodacus rodochroa,17
Carpodacus rodopeplus,2,Carpodacus rodopeplus,24
Carpodacus roseus,9,Carpodacus roseus,36
Carpodacus rubicilla,17,Carpodacus rubicilla,17
Carpodacus rubicilloides,24,Carpodacus rubicilloides,19
Carpodacus sibiricus,87,Carpodacus sibiricus,102
Carpodacus sillemi,0,Carpodacus sillemi,1
Carpodacus sipahi,5,Carpodacus sipahi,6
Carpodacus stoliczkae,3,Carpodacus stoliczkae,0
Carpodacus subhimachalus,2,Carpodacus subhimachalus,12
Carpodacus synoicus,16,Carpodacus synoicus,22
Carpodacus thura,14,Carpodacus thura,29
Carpodacus trifasciatus,4,Carpodacus trifasciatus,7
Carpodacus verreauxii,1,Carpodacus verreauxii,0
Carpodacus vinaceus,7,Carpodacus vinaceus,880
Carpodacus waltoni,14,Carpodacus waltoni,9
Carpodectes antoniae,0,Carpodectes antoniae,1
Carpodectes hopkei,2,Carpodectes hopkei,10
Carpodectes nitidus,1,Carpodectes nitidus,1
Carpornis cucullata,71,Carpornis cucullata,1
Carpornis melanocephala,23,Carpornis melanocephala,9
Carpospiza brachydactyla,20,Carpospiza brachydactyla,4
Carterornis castus,NA,Carterornis castus,0
Carterornis chrysomela,21,Carterornis chrysomela,34
Carterornis leucotis,15,Carterornis leucotis,8
Carterornis pileatus,23,Carterornis pileatus,3
Caryothraustes canadensis,127,Caryothraustes canadensis,58
Caryothraustes poliogaster,43,Caryothraustes poliogaster,26
Casiornis fuscus,9,Casiornis fuscus,10
Casiornis rufus,40,Casiornis rufus,20
Cassiculus melanicterus,63,Cassiculus melanicterus,6
Castanozoster thoracicus,17,Castanozoster thoracicus,70
Casuarius bennetti,1,Casuarius bennetti,19
Casuarius casuarius,20,Casuarius casuarius,127
Casuarius unappendiculatus,6,Casuarius unappendiculatus,22
Catamblyrhynchus diadema,39,Catamblyrhynchus diadema,9
Catamenia analis,39,Catamenia analis,69
Catamenia homochroa,23,Catamenia homochroa,6
Catamenia inornata,36,Catamenia inornata,32
Cataponera turdoides,3,Cataponera turdoides,0
Catharopeza bishopi,2,Catharopeza bishopi,15
Cathartes aura,7,Cathartes aura,1756
Cathartes burrovianus,0,Cathartes burrovianus,19
Cathartes melambrotus,1,Cathartes melambrotus,22
Catharus aurantiirostris,363,Catharus aurantiirostris,16
Catharus bicknelli,49,Catharus bicknelli,276
Catharus dryas,109,Catharus dryas,28
Catharus frantzii,55,Catharus frantzii,124
Catharus fuscater,148,Catharus fuscater,22
Catharus fuscescens,227,Catharus fuscescens,137
Catharus gracilirostris,40,Catharus gracilirostris,20
Catharus guttatus,342,Catharus guttatus,162
Catharus mexicanus,98,Catharus mexicanus,13
Catharus minimus,120,Catharus minimus,359
Catharus occidentalis,30,Catharus occidentalis,19
Catharus ustulatus,588,Catharus ustulatus,40528
Catherpes mexicanus,224,Catherpes mexicanus,9
Catreus wallichii,9,Catreus wallichii,34
Cecropis abyssinica,70,Cecropis abyssinica,3
Cecropis badia,10,Cecropis badia,0
Cecropis cucullata,24,Cecropis cucullata,3
Cecropis daurica,227,Cecropis daurica,21
Cecropis hyperythra,8,Cecropis hyperythra,0
Cecropis semirufa,18,Cecropis semirufa,9
Cecropis senegalensis,9,Cecropis senegalensis,0
Cecropis striolata,12,Cecropis striolata,3
Celebesia abbotti,4,Celebesia abbotti,4
Celebesia parvula,9,Celebesia parvula,2
Celeus castaneus,16,Celeus castaneus,23
Celeus elegans,53,Celeus elegans,98
Celeus flavescens,77,Celeus flavescens,34
Celeus flavus,89,Celeus flavus,50
Celeus galeatus,42,Celeus galeatus,18
Celeus grammicus,90,Celeus grammicus,281
Celeus loricatus,41,Celeus loricatus,22
Celeus lugubris,25,Celeus lugubris,42
Celeus obrieni,56,Celeus obrieni,16
Celeus ochraceus,38,Celeus ochraceus,0
Celeus spectabilis,33,Celeus spectabilis,36
Celeus torquatus,96,Celeus torquatus,38
Celeus undatus,24,Celeus undatus,94
Centrocercus minimus,7,Centrocercus minimus,56
Centrocercus urophasianus,30,Centrocercus urophasianus,296
Centronyx bairdii,86,Centronyx bairdii,14
Centronyx henslowii,90,Centronyx henslowii,5
Centropus andamanensis,11,Centropus andamanensis,0
Centropus anselli,2,Centropus anselli,0
Centropus ateralbus,4,Centropus ateralbus,0
Centropus bengalensis,56,Centropus bengalensis,10
Centropus bernsteini,9,Centropus bernsteini,0
Centropus celebensis,28,Centropus celebensis,0
Centropus chalybeus,12,Centropus chalybeus,0
Centropus chlororhynchos,15,Centropus chlororhynchos,0
Centropus cupreicaudus,7,Centropus cupreicaudus,4
Centropus goliath,18,Centropus goliath,0
Centropus grillii,7,Centropus grillii,75
Centropus leucogaster,24,Centropus leucogaster,0
Centropus melanops,21,Centropus melanops,0
Centropus menbeki,28,Centropus menbeki,0
Centropus milo,27,Centropus milo,0
Centropus monachus,20,Centropus monachus,7
Centropus nigrorufus,1,Centropus nigrorufus,0
Centropus phasianinus,33,Centropus phasianinus,15
Centropus rectunguis,21,Centropus rectunguis,0
Centropus senegalensis,40,Centropus senegalensis,1
Centropus sinensis,170,Centropus sinensis,13
Centropus steerii,6,Centropus steerii,0
Centropus superciliosus,96,Centropus superciliosus,2
Centropus toulou,38,Centropus toulou,0
Centropus unirufus,9,Centropus unirufus,2
Centropus violaceus,7,Centropus violaceus,0
Centropus viridis,31,Centropus viridis,28
Cephalopterus glabricollis,1,Cephalopterus glabricollis,5
Cephalopterus ornatus,9,Cephalopterus ornatus,15
Cephalopterus penduliger,18,Cephalopterus penduliger,4
Cephalopyrus flammiceps,6,Cephalopyrus flammiceps,8
Cepphus carbo,0,Cepphus carbo,14
Cepphus columba,11,Cepphus columba,26
Cepphus grylle,30,Cepphus grylle,37
Ceratogymna atrata,27,Ceratogymna atrata,3
Ceratogymna elata,8,Ceratogymna elata,3
Ceratopipra chloromeros,20,Ceratopipra chloromeros,4
Ceratopipra cornuta,18,Ceratopipra cornuta,11
Ceratopipra erythrocephala,146,Ceratopipra erythrocephala,39
Ceratopipra mentalis,86,Ceratopipra mentalis,68
Ceratopipra rubrocapilla,98,Ceratopipra rubrocapilla,22
Cercibis oxycerca,18,Cercibis oxycerca,0
Cercococcyx mechowi,35,Cercococcyx mechowi,5
Cercococcyx montanus,99,Cercococcyx montanus,110
Cercococcyx olivinus,30,Cercococcyx olivinus,5
Cercomacra brasiliana,25,Cercomacra brasiliana,4
Cercomacra carbonaria,25,Cercomacra carbonaria,10
Cercomacra cinerascens,189,Cercomacra cinerascens,31
Cercomacra ferdinandi,25,Cercomacra ferdinandi,4
Cercomacra manu,68,Cercomacra manu,9
Cercomacra melanaria,60,Cercomacra melanaria,15
Cercomacra nigricans,99,Cercomacra nigricans,6
Cercomacroides fuscicauda,68,Cercomacroides fuscicauda,0
Cercomacroides laeta,48,Cercomacroides laeta,14
Cercomacroides nigrescens,155,Cercomacroides nigrescens,12
Cercomacroides parkeri,79,Cercomacroides parkeri,4
Cercomacroides serva,118,Cercomacroides serva,15
Cercomacroides tyrannina,305,Cercomacroides tyrannina,66
Cercotrichas barbata,11,Cercotrichas barbata,8
Cercotrichas coryphoeus,49,Cercotrichas coryphoeus,721
Cercotrichas galactotes,139,Cercotrichas galactotes,12
Cercotrichas hartlaubi,15,Cercotrichas hartlaubi,13
Cercotrichas leucophrys,298,Cercotrichas leucophrys,10
Cercotrichas leucosticta,7,Cercotrichas leucosticta,8
Cercotrichas paena,32,Cercotrichas paena,8
Cercotrichas podobe,24,Cercotrichas podobe,24
Cercotrichas quadrivirgata,39,Cercotrichas quadrivirgata,10
Cercotrichas signata,46,Cercotrichas signata,455
Cereopsis novaehollandiae,3,Cereopsis novaehollandiae,15
Cerorhinca monocerata,0,Cerorhinca monocerata,26
Certhia americana,302,Certhia americana,3023
Certhia brachydactyla,774,Certhia brachydactyla,51
Certhia discolor,21,Certhia discolor,7
Certhia familiaris,777,Certhia familiaris,591
Certhia himalayana,21,Certhia himalayana,21
Certhia hodgsoni,16,Certhia hodgsoni,26
Certhia manipurensis,17,Certhia manipurensis,6
Certhia nipalensis,2,Certhia nipalensis,8
Certhia tianquanensis,10,Certhia tianquanensis,8
Certhiasomus stictolaemus,26,Certhiasomus stictolaemus,19
Certhiaxis cinnamomeus,169,Certhiaxis cinnamomeus,31
Certhiaxis mustelinus,19,Certhiaxis mustelinus,9
Certhidea fusca,5,Certhidea fusca,75
Certhidea olivacea,6,Certhidea olivacea,102
Certhilauda benguelensis,3,Certhilauda benguelensis,4
Certhilauda brevirostris,13,Certhilauda brevirostris,3
Certhilauda chuana,10,Certhilauda chuana,27
Certhilauda curvirostris,14,Certhilauda curvirostris,6
Certhilauda semitorquata,23,Certhilauda semitorquata,6
Certhilauda subcoronata,33,Certhilauda subcoronata,4
Certhionyx variegatus,5,Certhionyx variegatus,5
Ceryle rudis,112,Ceryle rudis,15
Cettia brunnifrons,51,Cettia brunnifrons,11
Cettia castaneocoronata,71,Cettia castaneocoronata,26
Cettia cetti,964,Cettia cetti,57
Cettia major,12,Cettia major,10
Ceuthmochares aereus,30,Ceuthmochares aereus,1
Ceuthmochares australis,17,Ceuthmochares australis,0
Ceyx argentatus,1,Ceyx argentatus,44
Ceyx azureus,10,Ceyx azureus,13
Ceyx cajeli,0,Ceyx cajeli,0
Ceyx collectoris,3,Ceyx collectoris,3
Ceyx cyanopectus,1,Ceyx cyanopectus,24
Ceyx dispar,0,Ceyx dispar,0
Ceyx erithaca,36,Ceyx erithaca,172
Ceyx fallax,5,Ceyx fallax,2
Ceyx flumenicola,0,Ceyx flumenicola,2
Ceyx gentianus,1,Ceyx gentianus,1
Ceyx lepidus,3,Ceyx lepidus,195
Ceyx malaitae,0,Ceyx malaitae,3
Ceyx margarethae,4,Ceyx margarethae,3
Ceyx meeki,1,Ceyx meeki,3
Ceyx melanurus,6,Ceyx melanurus,131
Ceyx mulcatus,0,Ceyx mulcatus,4
Ceyx nigromaxilla,4,Ceyx nigromaxilla,2
Ceyx pallidus,NA,Ceyx pallidus,0
Ceyx pusillus,3,Ceyx pusillus,10
Ceyx rufidorsa,NA,Ceyx rufidorsa,15
Ceyx sacerdotis,0,Ceyx sacerdotis,2
Ceyx solitarius,14,Ceyx solitarius,3
Ceyx uropygialis,NA,Ceyx uropygialis,0
Ceyx wallacii,0,Ceyx wallacii,0
Ceyx websteri,0,Ceyx websteri,12
Chaetocercus astreans,2,Chaetocercus astreans,0
Chaetocercus berlepschi,6,Chaetocercus berlepschi,6
Chaetocercus bombus,11,Chaetocercus bombus,6
Chaetocercus heliodor,7,Chaetocercus heliodor,8
Chaetocercus jourdanii,0,Chaetocercus jourdanii,0
Chaetocercus mulsant,16,Chaetocercus mulsant,13
Chaetops aurantius,7,Chaetops aurantius,2
Chaetops frenatus,11,Chaetops frenatus,14
Chaetoptila angustipluma,0,Chaetoptila angustipluma,3
Chaetorhynchus papuensis,9,Chaetorhynchus papuensis,25
Chaetornis striata,20,Chaetornis striata,9
Chaetura brachyura,47,Chaetura brachyura,18
Chaetura chapmani,12,Chaetura chapmani,16
Chaetura cinereiventris,67,Chaetura cinereiventris,26
Chaetura egregia,10,Chaetura egregia,8
Chaetura fumosa,2,Chaetura fumosa,6
Chaetura martinica,2,Chaetura martinica,2
Chaetura meridionalis,59,Chaetura meridionalis,9
Chaetura pelagica,43,Chaetura pelagica,35097
Chaetura spinicaudus,32,Chaetura spinicaudus,20
Chaetura vauxi,36,Chaetura vauxi,31
Chaetura viridipennis,12,Chaetura viridipennis,3
Chalcomitra adelberti,4,Chalcomitra adelberti,2
Chalcomitra amethystina,49,Chalcomitra amethystina,3
Chalcomitra balfouri,4,Chalcomitra balfouri,3
Chalcomitra fuliginosa,8,Chalcomitra fuliginosa,3
Chalcomitra hunteri,6,Chalcomitra hunteri,0
Chalcomitra rubescens,13,Chalcomitra rubescens,0
Chalcomitra senegalensis,76,Chalcomitra senegalensis,14
Chalcoparia singalensis,37,Chalcoparia singalensis,14
Chalcophaps indica,66,Chalcophaps indica,66
Chalcophaps longirostris,26,Chalcophaps longirostris,0
Chalcophaps stephani,15,Chalcophaps stephani,16
Chalcopsitta atra,8,Chalcopsitta atra,14
Chalcopsitta cardinalis,20,Chalcopsitta cardinalis,42
Chalcopsitta duivenbodei,5,Chalcopsitta duivenbodei,15
Chalcopsitta scintillata,1,Chalcopsitta scintillata,11
Chalcostigma herrani,6,Chalcostigma herrani,9
Chalcostigma heteropogon,5,Chalcostigma heteropogon,0
Chalcostigma olivaceum,1,Chalcostigma olivaceum,12
Chalcostigma ruficeps,6,Chalcostigma ruficeps,41
Chalcostigma stanleyi,15,Chalcostigma stanleyi,29
Chalcothraupis ruficervix,15,Chalcothraupis ruficervix,5
Chalybura buffonii,25,Chalybura buffonii,6
Chalybura urochrysia,16,Chalybura urochrysia,8
Chamaea fasciata,99,Chamaea fasciata,147
Chamaepetes goudotii,44,Chamaepetes goudotii,22
Chamaepetes unicolor,6,Chamaepetes unicolor,8
Chamaetylas choloensis,4,Chamaetylas choloensis,4
Chamaetylas fuelleborni,31,Chamaetylas fuelleborni,4
Chamaetylas poliocephala,12,Chamaetylas poliocephala,39
Chamaetylas poliophrys,13,Chamaetylas poliophrys,5
Chamaeza campanisona,277,Chamaeza campanisona,11
Chamaeza meruloides,64,Chamaeza meruloides,8
Chamaeza mollissima,54,Chamaeza mollissima,2
Chamaeza nobilis,47,Chamaeza nobilis,4
Chamaeza ruficauda,93,Chamaeza ruficauda,1
Chamaeza turdina,66,Chamaeza turdina,0
Charadrius alexandrinus,155,Charadrius alexandrinus,1064
Charadrius alticola,9,Charadrius alticola,14
Charadrius asiaticus,1,Charadrius asiaticus,7
Charadrius bicinctus,14,Charadrius bicinctus,15
Charadrius collaris,42,Charadrius collaris,28
Charadrius dubius,536,Charadrius dubius,35
Charadrius falklandicus,11,Charadrius falklandicus,18
Charadrius forbesi,7,Charadrius forbesi,5
Charadrius hiaticula,407,Charadrius hiaticula,24
Charadrius javanicus,7,Charadrius javanicus,3
Charadrius leschenaultii,19,Charadrius leschenaultii,22
Charadrius marginatus,11,Charadrius marginatus,75
Charadrius melodus,20,Charadrius melodus,104
Charadrius modestus,28,Charadrius modestus,29
Charadrius mongolus,34,Charadrius mongolus,23
Charadrius montanus,7,Charadrius montanus,97
Charadrius morinellus,144,Charadrius morinellus,16
Charadrius nivosus,34,Charadrius nivosus,85
Charadrius obscurus,4,Charadrius obscurus,35
Charadrius pallidus,9,Charadrius pallidus,54
Charadrius pecuarius,11,Charadrius pecuarius,87
Charadrius peronii,2,Charadrius peronii,6
Charadrius placidus,23,Charadrius placidus,15
Charadrius ruficapillus,7,Charadrius ruficapillus,77
Charadrius sanctaehelenae,1,Charadrius sanctaehelenae,18
Charadrius semipalmatus,111,Charadrius semipalmatus,31
Charadrius thoracicus,4,Charadrius thoracicus,21
Charadrius tricollaris,34,Charadrius tricollaris,21
Charadrius veredus,16,Charadrius veredus,13
Charadrius vociferus,213,Charadrius vociferus,31739
Charadrius wilsonia,62,Charadrius wilsonia,20
Charitospiza eucosma,26,Charitospiza eucosma,7
Charmosyna amabilis,0,Charmosyna amabilis,0
Charmosyna diadema,0,Charmosyna diadema,0
Charmosyna josefinae,1,Charmosyna josefinae,2
Charmosyna margarethae,17,Charmosyna margarethae,0
Charmosyna meeki,5,Charmosyna meeki,7
Charmosyna multistriata,0,Charmosyna multistriata,7
Charmosyna palmarum,4,Charmosyna palmarum,0
Charmosyna papou,6,Charmosyna papou,14
Charmosyna placentis,17,Charmosyna placentis,14
Charmosyna pulchella,2,Charmosyna pulchella,15
Charmosyna rubrigularis,1,Charmosyna rubrigularis,0
Charmosyna rubronotata,3,Charmosyna rubronotata,5
Charmosyna toxopei,0,Charmosyna toxopei,0
Charmosyna wilhelminae,0,Charmosyna wilhelminae,0
Chasiempis ibidis,8,Chasiempis ibidis,5
Chasiempis sandwichensis,15,Chasiempis sandwichensis,77
Chasiempis sclateri,13,Chasiempis sclateri,9
Chauna chavaria,14,Chauna chavaria,1
Chauna torquata,80,Chauna torquata,113
Chelictinia riocourii,2,Chelictinia riocourii,0
Chelidoptera tenebrosa,57,Chelidoptera tenebrosa,5
Chelidorhynx hypoxanthus,30,Chelidorhynx hypoxanthus,17
Chenonetta finschi,NA,Chenonetta finschi,0
Chenonetta jubata,17,Chenonetta jubata,20
Chenorhamphus campbelli,0,Chenorhamphus campbelli,5
Chenorhamphus grayi,0,Chenorhamphus grayi,77
Cheramoeca leucosterna,4,Cheramoeca leucosterna,3
Chersomanes albofasciata,16,Chersomanes albofasciata,49
Chersomanes beesleyi,4,Chersomanes beesleyi,6
Chersophilus duponti,46,Chersophilus duponti,29
Chionis albus,6,Chionis albus,51
Chionis minor,2,Chionis minor,16
Chiroxiphia boliviana,64,Chiroxiphia boliviana,10
Chiroxiphia caudata,238,Chiroxiphia caudata,167
Chiroxiphia lanceolata,88,Chiroxiphia lanceolata,46523
Chiroxiphia linearis,96,Chiroxiphia linearis,17
Chiroxiphia pareola,204,Chiroxiphia pareola,123
Chlamydera cerviniventris,4,Chlamydera cerviniventris,38
Chlamydera guttata,7,Chlamydera guttata,4
Chlamydera lauterbachi,1,Chlamydera lauterbachi,2
Chlamydera maculata,20,Chlamydera maculata,20
Chlamydera nuchalis,10,Chlamydera nuchalis,10
Chlamydochaera jefferyi,9,Chlamydochaera jefferyi,10
Chlamydotis macqueenii,0,Chlamydotis macqueenii,75701
Chlamydotis undulata,0,Chlamydotis undulata,134
Chleuasicus atrosuperciliaris,3,Chleuasicus atrosuperciliaris,13
Chlidonias albostriatus,6,Chlidonias albostriatus,122
Chlidonias hybrida,161,Chlidonias hybrida,18
Chlidonias leucopterus,80,Chlidonias leucopterus,22
Chlidonias niger,174,Chlidonias niger,35
Chloephaga hybrida,7,Chloephaga hybrida,11
Chloephaga picta,27,Chloephaga picta,72
Chloephaga poliocephala,6,Chloephaga poliocephala,12
Chloephaga rubidiceps,10,Chloephaga rubidiceps,26
Chlorestes notata,23,Chlorestes notata,28
Chloridops kona,0,Chloridops kona,0
Chloris ambigua,13,Chloris ambigua,12
Chloris chloris,1342,Chloris chloris,323
Chloris monguilloti,18,Chloris monguilloti,5
Chloris sinica,60,Chloris sinica,105
Chloris spinoides,19,Chloris spinoides,15
Chloroceryle aenea,31,Chloroceryle aenea,56
Chloroceryle amazona,81,Chloroceryle amazona,14
Chloroceryle americana,98,Chloroceryle americana,35
Chloroceryle inda,38,Chloroceryle inda,12
Chlorocharis emiliae,20,Chlorocharis emiliae,181
Chlorochrysa calliparaea,14,Chlorochrysa calliparaea,8
Chlorochrysa nitidissima,19,Chlorochrysa nitidissima,2
Chlorochrysa phoenicotis,30,Chlorochrysa phoenicotis,7
Chlorocichla falkensteini,1,Chlorocichla falkensteini,3
Chlorocichla flaviventris,38,Chlorocichla flaviventris,14
Chlorocichla laetissima,14,Chlorocichla laetissima,4
Chlorocichla prigoginei,0,Chlorocichla prigoginei,3
Chlorocichla simplex,15,Chlorocichla simplex,6
Chlorodrepanis flava,17,Chlorodrepanis flava,24
Chlorodrepanis stejnegeri,13,Chlorodrepanis stejnegeri,38
Chlorodrepanis virens,30,Chlorodrepanis virens,210
Chlorophanes spiza,53,Chlorophanes spiza,101
Chlorophonia callophrys,14,Chlorophonia callophrys,0
Chlorophonia cyanea,92,Chlorophonia cyanea,5
Chlorophonia flavirostris,29,Chlorophonia flavirostris,6
Chlorophonia occipitalis,37,Chlorophonia occipitalis,7
Chlorophonia pyrrhophrys,55,Chlorophonia pyrrhophrys,0
Chloropicus abyssinicus,7,Chloropicus abyssinicus,1
Chloropicus elachus,4,Chloropicus elachus,9
Chloropicus elliotii,3,Chloropicus elliotii,14
Chloropicus fuscescens,57,Chloropicus fuscescens,76
Chloropicus gabonensis,0,Chloropicus gabonensis,54
Chloropicus goertae,18,Chloropicus goertae,26
Chloropicus griseocephalus,33,Chloropicus griseocephalus,52
Chloropicus lugubris,6,Chloropicus lugubris,1
Chloropicus namaquus,19,Chloropicus namaquus,23
Chloropicus obsoletus,1,Chloropicus obsoletus,26
Chloropicus poecilolaemus,1,Chloropicus poecilolaemus,10
Chloropicus pyrrhogaster,12,Chloropicus pyrrhogaster,16
Chloropicus spodocephalus,15,Chloropicus spodocephalus,1
Chloropicus stierlingi,1,Chloropicus stierlingi,18
Chloropicus xantholophus,7,Chloropicus xantholophus,14
Chloropipo flavicapilla,14,Chloropipo flavicapilla,4
Chloropipo unicolor,6,Chloropipo unicolor,16
Chloropsis aurifrons,45,Chloropsis aurifrons,55
Chloropsis cochinchinensis,54,Chloropsis cochinchinensis,46
Chloropsis cyanopogon,31,Chloropsis cyanopogon,23
Chloropsis flavipennis,6,Chloropsis flavipennis,9
Chloropsis hardwickii,86,Chloropsis hardwickii,49
Chloropsis jerdoni,13,Chloropsis jerdoni,6
Chloropsis kinabaluensis,9,Chloropsis kinabaluensis,10
Chloropsis media,1,Chloropsis media,8
Chloropsis palawanensis,6,Chloropsis palawanensis,10
Chloropsis sonnerati,45,Chloropsis sonnerati,35
Chloropsis venusta,1,Chloropsis venusta,4
Chlorornis riefferii,82,Chlorornis riefferii,56
Chlorospingus canigularis,34,Chlorospingus canigularis,7
Chlorospingus flavigularis,97,Chlorospingus flavigularis,8
Chlorospingus flavopectus,263,Chlorospingus flavopectus,287
Chlorospingus flavovirens,15,Chlorospingus flavovirens,3
Chlorospingus inornatus,4,Chlorospingus inornatus,4
Chlorospingus parvirostris,14,Chlorospingus parvirostris,2
Chlorospingus pileatus,54,Chlorospingus pileatus,17
Chlorospingus semifuscus,50,Chlorospingus semifuscus,7
Chlorospingus tacarcunae,3,Chlorospingus tacarcunae,5
Chlorostilbon alice,1,Chlorostilbon alice,0
Chlorostilbon assimilis,1,Chlorostilbon assimilis,10
