Xeno-canto Matched to eBird/Clements,No.Recordings,GenBank species,GB_Nucleotide_Seqs
Acrocephalus rodericanus,2,Acrocephalus rodericanus,2
Acrocephalus rufescens,34,Acrocephalus rufescens,23
Acrocephalus schoenobaenus,813,Acrocephalus schoenobaenus,3634
Acrocephalus scirpaceus,1084,Acrocephalus scirpaceus,632
Acrocephalus sechellensis,7,Acrocephalus sechellensis,277
Acrocephalus sorghophilus,0,Acrocephalus sorghophilus,0
Acrocephalus stentoreus,159,Acrocephalus stentoreus,27
Acrocephalus syrinx,4,Acrocephalus syrinx,15
Acrocephalus taiti,1,Acrocephalus taiti,41
Acrocephalus tangorum,13,Acrocephalus tangorum,19
Acrocephalus vaughani,1,Acrocephalus vaughani,9
Acrocephalus yamashinae,0,Acrocephalus yamashinae,6
Acropternis orthonyx,101,Acropternis orthonyx,6
Acryllium vulturinum,3,Acryllium vulturinum,30
Actenoides bougainvillei,8,Actenoides bougainvillei,6
Actenoides concretus,44,Actenoides concretus,12
Actenoides hombroni,22,Actenoides hombroni,5
Actenoides lindsayi,30,Actenoides lindsayi,11
Actenoides monachus,23,Actenoides monachus,2
Actenoides princeps,8,Actenoides princeps,2
Actinodura cyanouroptera,27,Actinodura cyanouroptera,45
Actinodura egertoni,19,Actinodura egertoni,33
Actinodura morrisoniana,5,Actinodura morrisoniana,21
Actinodura nipalensis,20,Actinodura nipalensis,17
Actinodura ramsayi,15,Actinodura ramsayi,23
Actinodura sodangorum,7,Actinodura sodangorum,0
Actinodura souliei,3,Actinodura souliei,21
Actinodura strigula,51,Actinodura strigula,29
Actinodura waldeni,16,Actinodura waldeni,18
Actitis hypoleucos,809,Actitis hypoleucos,314
Actitis macularius,116,Actitis macularius,28
Actophilornis africanus,42,Actophilornis africanus,11
Actophilornis albinucha,1,Actophilornis albinucha,0
Adelomyia melanogenys,133,Adelomyia melanogenys,297
Aechmophorus clarkii,26,Aechmophorus clarkii,18
Aechmophorus occidentalis,66,Aechmophorus occidentalis,17
Aegithalos caudatus,1095,Aegithalos caudatus,1067
Aegithalos concinnus,61,Aegithalos concinnus,2226
Aegithalos fuliginosus,3,Aegithalos fuliginosus,277
Aegithalos glaucogularis,4,Aegithalos glaucogularis,15
Aegithalos iouschistos,20,Aegithalos iouschistos,276
Aegithalos leucogenys,0,Aegithalos leucogenys,7
Aegithalos niveogularis,7,Aegithalos niveogularis,49
