GenBankID,GB_Nucleotide_Seqs,GenBank_Name,GenBank_Group,EBirdClements_Names,Ebird_Group,Clements_Order,Clements_Family,Reconciliation,IUCN_Status
258530,50,Accipiter_gularis,species,Accipiter_gularis,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
1037346,1,Accipiter_gundlachi,species,Accipiter_gundlachi,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Endangered
1620263,4,Accipiter_haplochrous,species,Accipiter_haplochrous,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Near Threatened
N/A,N/A,N/A,N/A,Accipiter_henicogrammus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Near Threatened
387797,14,Accipiter_henstii,species,Accipiter_henstii,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Vulnerable
N/A,N/A,N/A,N/A,Accipiter_hiogaster,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
387798,1,Accipiter_imitator,species,Accipiter_imitator,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Vulnerable
N/A,N/A,N/A,N/A,Accipiter_luteoschistaceus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Vulnerable
993370,2,Accipiter_madagascariensis,species,Accipiter_madagascariensis,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Near Threatened
387799,1,Accipiter_melanochlamys,species,Accipiter_melanochlamys,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
387800,16,Accipiter_melanoleucus,species,Accipiter_melanoleucus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
2571053,7,Accipiter_meyerianus,species,Accipiter_meyerianus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
993371,14,Accipiter_minullus,species,Accipiter_minullus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
N/A,N/A,N/A,N/A,Accipiter_nanus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Near Threatened
211598,54,Accipiter_nisus,species,Accipiter_nisus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
387801,0,Accipiter_novaehollandiae,species,Accipiter_novaehollandiae,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
