no.Xeno-Canto,Common name in Xeno-canto,Scientific name in Xeno-canto,Status,No. Recordings,No. Background,matched to eBird/Clements taxa,,,,no.Clements,English name,scientific name
48,Brushland Tinamou,Nothoprocta cinerascens,,22,4,Nothoprocta cinerascens,,,,48,Quebracho Crested-Tinamou,Eudromia formosa
49,Andean Tinamou,Nothoprocta pentlandii,,36,3,Nothoprocta pentlandii,,,,49,Puna Tinamou,Tinamotis pentlandii
50,Curve-billed Tinamou,Nothoprocta curvirostris,,5,0,Nothoprocta curvirostris,,,,50,Patagonian Tinamou,Tinamotis ingoufi
51,White-bellied Nothura,Nothura boraquira,,24,7,Nothura boraquira,,,,51,Southern Cassowary,Casuarius casuarius
52,Lesser Nothura,Nothura minor,,8,0,Nothura minor,,,,52,Dwarf Cassowary,Casuarius bennetti
53,Darwin's Nothura,Nothura darwinii,,19,7,Nothura darwinii,,,,53,Northern Cassowary,Casuarius unappendiculatus
54,Spotted Nothura,Nothura maculosa,,66,23,Nothura maculosa,,,,54,Emu,Dromaius novaehollandiae
55,Dwarf Tinamou,Taoniscus nanus,,38,1,Taoniscus nanus,,,,55,Southern Brown Kiwi,Apteryx australis
56,Elegant Crested Tinamou,Eudromia elegans,,14,1,Eudromia elegans,,,,56,Okarito Brown Kiwi,Apteryx rowi
57,Quebracho Crested Tinamou,Eudromia formosa,,8,0,Eudromia formosa,,,,57,North Island Brown Kiwi,Apteryx mantelli
58,Puna Tinamou,Tinamotis pentlandii,,11,0,Tinamotis pentlandii,,,,58,Little Spotted Kiwi,Apteryx owenii
59,Patagonian Tinamou,Tinamotis ingoufi,,1,0,Tinamotis ingoufi,,,,59,Great Spotted Kiwi,Apteryx haastii
60,Horned Screamer,Anhima cornuta,,72,26,Anhima cornuta,,,,60,Horned Screamer,Anhima cornuta
61,Northern Screamer,Chauna chavaria,,14,1,Chauna chavaria,,,,61,Southern Screamer,Chauna torquata
62,Southern Screamer,Chauna torquata,,80,44,Chauna torquata,,,,62,Northern Screamer,Chauna chavaria
63,Magpie Goose,Anseranas semipalmata,,16,12,Anseranas semipalmata,,,,63,Magpie Goose,Anseranas semipalmata
64,White-faced Whistling Duck,Dendrocygna viduata,,117,34,Dendrocygna viduata,,,,64,Spotted Whistling-Duck,Dendrocygna guttata
65,Black-bellied Whistling Duck,Dendrocygna autumnalis,,188,79,Dendrocygna autumnalis,,,,65,Plumed Whistling-Duck,Dendrocygna eytoni
66,Spotted Whistling Duck,Dendrocygna guttata,,6,2,Dendrocygna guttata,,,,66,White-faced Whistling-Duck,Dendrocygna viduata
67,West Indian Whistling Duck,Dendrocygna arborea,,10,2,Dendrocygna arborea,,,,67,Black-bellied Whistling-Duck,Dendrocygna autumnalis
68,Fulvous Whistling Duck,Dendrocygna bicolor,,51,7,Dendrocygna bicolor,,,,68,West Indian Whistling-Duck,Dendrocygna arborea
69,Plumed Whistling Duck,Dendrocygna eytoni,,12,5,Dendrocygna eytoni,,,,69,Fulvous Whistling-Duck,Dendrocygna bicolor
70,Wandering Whistling Duck,Dendrocygna arcuata,,20,6,Dendrocygna arcuata,,,,70,Wandering Whistling-Duck,Dendrocygna arcuata
71,Lesser Whistling Duck,Dendrocygna javanica,,40,6,Dendrocygna javanica,,,,71,Lesser Whistling-Duck,Dendrocygna javanica
72,White-backed Duck,Thalassornis leuconotus,,1,0,Thalassornis leuconotus,,,,72,White-backed Duck,Thalassornis leuconotus
73,Cape Barren Goose,Cereopsis novaehollandiae,,3,0,Cereopsis novaehollandiae,,,,73,Bar-headed Goose,Anser indicus
74,Brant Goose,Branta bernicla,,126,23,Branta bernicla,,,,74,Emperor Goose,Anser canagicus
75,Red-breasted Goose,Branta ruficollis,,6,1,Branta ruficollis,,,,75,Snow Goose,Anser caerulescens
76,Nene,Branta sandvicensis,,12,2,Branta sandvicensis,,,,76,Ross's Goose,Anser rossii
77,Canada Goose,Branta canadensis,,371,993,Branta canadensis,,,,77,Graylag Goose,Anser anser
78,Barnacle Goose,Branta leucopsis,,240,114,Branta leucopsis,,,,78,Swan Goose,Anser cygnoides
79,Cackling Goose,Branta hutchinsii,,48,17,Branta hutchinsii,,,,79,Greater White-fronted Goose,Anser albifrons
80,Bar-headed Goose,Anser indicus,,35,18,Anser indicus,,,,80,Lesser White-fronted Goose,Anser erythropus
81,Emperor Goose,Anser canagicus,,7,0,Anser canagicus,,,,81,Taiga Bean-Goose,Anser fabalis
82,Ross's Goose,Anser rossii,,33,2,Anser rossii,,,,82,Tundra Bean-Goose,Anser serrirostris
83,Snow Goose,Anser caerulescens,,110,44,Anser caerulescens,,,,83,Pink-footed Goose,Anser brachyrhynchus
84,Greylag Goose,Anser anser,,490,1405,Anser anser,,,,84,Brant,Branta bernicla
85,Swan Goose,Anser cygnoides,,27,16,Anser cygnoides,,,,85,Barnacle Goose,Branta leucopsis
86,Taiga Bean Goose,Anser fabalis,,87,21,Anser fabalis,,,,86,Cackling Goose,Branta hutchinsii
87,Pink-footed Goose,Anser brachyrhynchus,,229,68,Anser brachyrhynchus,,,,87,Canada Goose,Branta canadensis
88,Tundra Bean Goose,Anser serrirostris,,56,27,Anser serrirostris,,,,88,Hawaiian Goose,Branta sandvicensis
89,Greater White-fronted Goose,Anser albifrons,,258,115,Anser albifrons,,,,89,Red-breasted Goose,Branta ruficollis
90,Lesser White-fronted Goose,Anser erythropus,,19,1,Anser erythropus,,,,90,Cape Barren Goose,Cereopsis novaehollandiae
91,Coscoroba Swan,Coscoroba coscoroba,,29,9,Coscoroba coscoroba,,,,91,Freckled Duck,Stictonetta naevosa
92,Black Swan,Cygnus atratus,,25,7,Cygnus atratus,,,,92,Blue-winged Goose,Cyanochen cyanoptera
93,Black-necked Swan,Cygnus melancoryphus,,17,1,Cygnus melancoryphus,,,,93,Mute Swan,Cygnus olor
94,Mute Swan,Cygnus olor,,287,119,Cygnus olor,,,,94,Black Swan,Cygnus atratus
95,Trumpeter Swan,Cygnus buccinator,,59,10,Cygnus buccinator,,,,95,Black-necked Swan,Cygnus melancoryphus
96,Tundra Swan,Cygnus columbianus,,114,40,Cygnus columbianus,,,,96,Trumpeter Swan,Cygnus buccinator
97,Whooper Swan,Cygnus cygnus,,334,214,Cygnus cygnus,,,,97,Tundra Swan,Cygnus columbianus
98,Freckled Duck,Stictonetta naevosa,,6,0,Stictonetta naevosa,,,,98,Whooper Swan,Cygnus cygnus
99,Blue Duck,Hymenolaimus malacorhynchos,,0,0,Hymenolaimus malacorhynchos,,,,99,Coscoroba Swan,Coscoroba coscoroba
100,Flying Steamer Duck,Tachyeres patachonicus,,17,2,Tachyeres patachonicus,,,,100,Knob-billed Duck,Sarkidiornis melanotos
101,Fuegian Steamer Duck,Tachyeres pteneres,,7,0,Tachyeres pteneres,,,,101,Comb Duck,Sarkidiornis sylvicola
102,Falkland Steamer Duck,Tachyeres brachypterus,,11,0,Tachyeres brachypterus,,,,102,Hartlaub's Duck,Pteronetta hartlaubii
103,Chubut Steamer Duck,Tachyeres leucocephalus,,3,0,Tachyeres leucocephalus,,,,103,Orinoco Goose,Oressochen jubatus
104,Torrent Duck,Merganetta armata,,7,0,Merganetta armata,,,,104,Andean Goose,Oressochen melanopterus
105,Spur-winged Goose,Plectropterus gambensis,,12,2,Plectropterus gambensis,,,,105,Upland Goose,Chloephaga picta
106,Comb Duck,Sarkidiornis sylvicola,,3,0,Sarkidiornis sylvicola,,,,106,Kelp Goose,Chloephaga hybrida
107,Knob-billed Duck,Sarkidiornis melanotos,,1,0,Sarkidiornis melanotos,,,,107,Ashy-headed Goose,Chloephaga poliocephala
108,Blue-winged Goose,Cyanochen cyanoptera,,8,0,Cyanochen cyanoptera,,,,108,Ruddy-headed Goose,Chloephaga rubidiceps
109,Egyptian Goose,Alopochen aegyptiaca,,164,134,Alopochen aegyptiaca,,,,109,Radjah Shelduck,Radjah radjah
110,Mauritius Sheldgoose,Alopochen mauritiana,Extinct,0,0,Alopochen mauritiana,,,,110,Egyptian Goose,Alopochen aegyptiaca
