no.Xeno-Canto,Common name in Xeno-canto,Scientific name in Xeno-canto,Status,No. Recordings,No. Background,matched to eBird/Clements taxa,,,,no.Clements,English name,scientific name
2272,Jacobin Cuckoo,Clamator jacobinus,,48,2,Clamator jacobinus,,,,2272,White-fronted Tern,Sterna striata
2273,Little Cuckoo,Coccycua minuta,,83,13,Coccycua minuta,,,,2273,Black-naped Tern,Sterna sumatrana
2274,Dwarf Cuckoo,Coccycua pumila,,6,0,Coccycua pumila,,,,2274,Common Tern,Sterna hirundo
2275,Ash-colored Cuckoo,Coccycua cinerea,,8,0,Coccycua cinerea,,,,2275,Arctic Tern,Sterna paradisaea
2276,Squirrel Cuckoo,Piaya cayana,,355,170,Piaya cayana,,,,2276,South American Tern,Sterna hirundinacea
2277,Black-bellied Cuckoo,Piaya melanogaster,,37,10,Piaya melanogaster,,,,2277,Antarctic Tern,Sterna vittata
2278,Dark-billed Cuckoo,Coccyzus melacoryphus,,64,3,Coccyzus melacoryphus,,,,2278,Forster's Tern,Sterna forsteri
2279,Yellow-billed Cuckoo,Coccyzus americanus,,222,154,Coccyzus americanus,,,,2279,Snowy-crowned Tern,Sterna trudeaui
2280,Pearly-breasted Cuckoo,Coccyzus euleri,,30,3,Coccyzus euleri,,,,2280,Black-bellied Tern,Sterna acuticauda
2281,Mangrove Cuckoo,Coccyzus minor,,43,11,Coccyzus minor,,,,2281,River Tern,Sterna aurantia
2282,Cocos Cuckoo,Coccyzus ferrugineus,,0,0,Coccyzus ferrugineus,,,,2282,White-cheeked Tern,Sterna repressa
2283,Black-billed Cuckoo,Coccyzus erythropthalmus,,60,7,Coccyzus erythropthalmus,,,,2283,Kerguelen Tern,Sterna virgata
2284,Grey-capped Cuckoo,Coccyzus lansbergi,,8,1,Coccyzus lansbergi,,,,2284,Royal Tern,Thalasseus maximus
2285,Chestnut-bellied Cuckoo,Coccyzus pluvialis,,1,0,Coccyzus pluvialis,,,,2285,Great Crested Tern,Thalasseus bergii
2286,Bay-breasted Cuckoo,Coccyzus rufigularis,,5,0,Coccyzus rufigularis,,,,2286,Sandwich Tern,Thalasseus sandvicensis
2287,Jamaican Lizard Cuckoo,Coccyzus vetula,,1,0,Coccyzus vetula,,,,2287,Elegant Tern,Thalasseus elegans
2288,Great Lizard Cuckoo,Coccyzus merlini,,13,2,Coccyzus merlini,,,,2288,Lesser Crested Tern,Thalasseus bengalensis
2289,Puerto Rican Lizard Cuckoo,Coccyzus vieilloti,,10,7,Coccyzus vieilloti,,,,2289,Chinese Crested Tern,Thalasseus bernsteini
2290,Hispaniolan Lizard Cuckoo,Coccyzus longirostris,,8,3,Coccyzus longirostris,,,,2290,Black Skimmer,Rynchops niger
2291,Thick-billed Cuckoo,Pachycoccyx audeberti,,7,0,Pachycoccyx audeberti,,,,2291,African Skimmer,Rynchops flavirostris
2292,Dwarf Koel,Microdynamis parva,,11,1,Microdynamis parva,,,,2292,Indian Skimmer,Rynchops albicollis
2293,Asian Koel,Eudynamys scolopaceus,,252,239,Eudynamys scolopaceus,,,,2293,Kagu,Rhynochetos jubatus
2294,Black-billed Koel,Eudynamys melanorhynchus,,29,20,Eudynamys melanorhynchus,,,,2294,Sunbittern,Eurypyga helias
2295,Pacific Koel,Eudynamys orientalis,,73,36,Eudynamys orientalis,,,,2295,White-tailed Tropicbird,Phaethon lepturus
2296,Pacific Long-tailed Cuckoo,Urodynamis taitensis,,12,2,Urodynamis taitensis,,,,2296,Red-billed Tropicbird,Phaethon aethereus
2297,Channel-billed Cuckoo,Scythrops novaehollandiae,,28,17,Scythrops novaehollandiae,,,,2297,Red-tailed Tropicbird,Phaethon rubricauda
2298,Asian Emerald Cuckoo,Chrysococcyx maculatus,,6,1,Chrysococcyx maculatus,,,,2298,Red-throated Loon,Gavia stellata
2299,Violet Cuckoo,Chrysococcyx xanthorhynchus,,34,3,Chrysococcyx xanthorhynchus,,,,2299,Arctic Loon,Gavia arctica
2300,Diederik Cuckoo,Chrysococcyx caprius,,84,61,Chrysococcyx caprius,,,,2300,Pacific Loon,Gavia pacifica
2301,Klaas's Cuckoo,Chrysococcyx klaas,,66,51,Chrysococcyx klaas,,,,2301,Common Loon,Gavia immer
2302,Yellow-throated Cuckoo,Chrysococcyx flavigularis,,4,0,Chrysococcyx flavigularis,,,,2302,Yellow-billed Loon,Gavia adamsii
2303,African Emerald Cuckoo,Chrysococcyx cupreus,,97,75,Chrysococcyx cupreus,,,,2303,King Penguin,Aptenodytes patagonicus
2304,Long-billed Cuckoo,Chrysococcyx megarhynchus,,4,0,Chrysococcyx megarhynchus,,,,2304,Emperor Penguin,Aptenodytes forsteri
2305,Horsfield's Bronze Cuckoo,Chrysococcyx basalis,,23,16,Chrysococcyx basalis,,,,2305,Adelie Penguin,Pygoscelis adeliae
2306,Black-eared Cuckoo,Chrysococcyx osculans,,11,6,Chrysococcyx osculans,,,,2306,Gentoo Penguin,Pygoscelis papua
2307,Rufous-throated Bronze Cuckoo,Chrysococcyx ruficollis,,5,0,Chrysococcyx ruficollis,,,,2307,Chinstrap Penguin,Pygoscelis antarcticus
2308,Shining Bronze Cuckoo,Chrysococcyx lucidus,,26,9,Chrysococcyx lucidus,,,,2308,Yellow-eyed Penguin,Megadyptes antipodes
2309,White-eared Bronze Cuckoo,Chrysococcyx meyerii,,6,0,Chrysococcyx meyerii,,,,2309,Little Penguin,Eudyptula minor
2310,Little Bronze Cuckoo,Chrysococcyx minutillus,,60,10,Chrysococcyx minutillus,,,,2310,African Penguin,Spheniscus demersus
2311,Pallid Cuckoo,Cacomantis pallidus,,21,9,Cacomantis pallidus,,,,2311,Humboldt Penguin,Spheniscus humboldti
2312,White-crowned Cuckoo,Cacomantis leucolophus,,24,1,Cacomantis leucolophus,,,,2312,Galapagos Penguin,Spheniscus mendiculus
2313,Chestnut-breasted Cuckoo,Cacomantis castaneiventris,,26,4,Cacomantis castaneiventris,,,,2313,Magellanic Penguin,Spheniscus magellanicus
2314,Fan-tailed Cuckoo,Cacomantis flabelliformis,,63,30,Cacomantis flabelliformis,,,,2314,Fiordland Penguin,Eudyptes pachyrhynchus
2315,Banded Bay Cuckoo,Cacomantis sonneratii,,92,5,Cacomantis sonneratii,,,,2315,Erect-crested Penguin,Eudyptes sclateri
2316,Plaintive Cuckoo,Cacomantis merulinus,,137,49,Cacomantis merulinus,,,,2316,Macaroni Penguin,Eudyptes chrysolophus
2317,Grey-bellied Cuckoo,Cacomantis passerinus,,37,1,Cacomantis passerinus,,,,2317,Royal Penguin,Eudyptes schlegeli
2318,Brush Cuckoo,Cacomantis variolosus,,102,41,Cacomantis variolosus,,,,2318,Southern Rockhopper Penguin,Eudyptes chrysocome
2319,Rusty-breasted Cuckoo,Cacomantis sepulcralis,,110,21,Cacomantis variolosus,,,,2319,Moseley's Rockhopper Penguin,Eudyptes moseleyi
2320,Moluccan Cuckoo,Cacomantis aeruginosus,,13,2,Cacomantis aeruginosus,,,,2320,Snares Penguin,Eudyptes robustus
2321,Dusky Long-tailed Cuckoo,Cercococcyx mechowi,,35,5,Cercococcyx mechowi,,,,2321,Yellow-nosed Albatross,Thalassarche chlororhynchos
2322,Olive Long-tailed Cuckoo,Cercococcyx olivinus,,30,5,Cercococcyx olivinus,,,,2322,Gray-headed Albatross,Thalassarche chrysostoma
2323,Barred Long-tailed Cuckoo,Cercococcyx montanus,,99,65,Cercococcyx montanus,,,,2323,Buller's Albatross,Thalassarche bulleri
2324,Philippine Drongo-Cuckoo,Surniculus velutinus,,12,1,Surniculus velutinus,,,,2324,White-capped Albatross,Thalassarche cauta
2325,Square-tailed Drongo-Cuckoo,Surniculus lugubris,,104,28,Surniculus lugubris,,,,2325,Salvin's Albatross,Thalassarche salvini
2326,Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,,41,4,Surniculus dicruroides,,,,2326,Chatham Albatross,Thalassarche eremita
2327,Moluccan Drongo-Cuckoo,Surniculus musschenbroeki,,14,2,Surniculus musschenbroeki,,,,2327,Black-browed Albatross,Thalassarche melanophris
2328,Moustached Hawk-Cuckoo,Hierococcyx vagans,,29,1,Hierococcyx vagans,,,,2328,Sooty Albatross,Phoebetria fusca
2329,Large Hawk-Cuckoo,Hierococcyx sparverioides,,84,137,Hierococcyx sparverioides,,,,2329,Light-mantled Albatross,Phoebetria palpebrata
2330,Dark Hawk-Cuckoo,Hierococcyx bocki,,35,2,Hierococcyx bocki,,,,2330,Royal Albatross,Diomedea epomophora
2331,Common Hawk-Cuckoo,Hierococcyx varius,,91,31,Hierococcyx varius,,,,2331,Wandering Albatross,Diomedea exulans
2332,Rufous Hawk-Cuckoo,Hierococcyx hyperythrus,,29,1,Hierococcyx hyperythrus,,,,2332,Waved Albatross,Phoebastria irrorata
2333,Philippine Hawk-Cuckoo,Hierococcyx pectoralis,,25,3,Hierococcyx pectoralis,,,,2333,Laysan Albatross,Phoebastria immutabilis
2334,Malaysian Hawk-Cuckoo,Hierococcyx fugax,,23,1,Hierococcyx fugax,,,,2334,Black-footed Albatross,Phoebastria nigripes
2335,Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor,,24,2,Hierococcyx nisicolor,,,,2335,Short-tailed Albatross,Phoebastria albatrus
2336,Black Cuckoo,Cuculus clamosus,,94,39,Cuculus clamosus,,,,2336,Wilson's Storm-Petrel,Oceanites oceanicus
2337,Red-chested Cuckoo,Cuculus solitarius,,122,120,Cuculus solitarius,,,,2337,Pincoya Storm-Petrel,Oceanites pincoyae
2338,Lesser Cuckoo,Cuculus poliocephalus,,81,33,Cuculus poliocephalus,,,,2338,Elliot's Storm-Petrel,Oceanites gracilis
2339,Sulawesi Cuckoo,Cuculus crassirostris,,6,0,Cuculus crassirostris,,,,2339,Gray-backed Storm-Petrel,Garrodia nereis
2340,Indian Cuckoo,Cuculus micropterus,,129,81,Cuculus micropterus,,,,2340,White-faced Storm-Petrel,Pelagodroma marina
2341,Madagascan Cuckoo,Cuculus rochii,,29,49,Cuculus rochii,,,,2341,White-bellied Storm-Petrel,Fregetta grallaria
2342,African Cuckoo,Cuculus gularis,,18,4,Cuculus gularis,,,,2342,New Zealand Storm-Petrel,Fregetta maoriana
2343,Himalayan Cuckoo,Cuculus saturatus,,43,23,Cuculus saturatus,,,,2343,Black-bellied Storm-Petrel,Fregetta tropica
2344,Oriental Cuckoo,Cuculus optatus,,121,59,Cuculus optatus,,,,2344,Polynesian Storm-Petrel,Nesofregetta fuliginosa
2345,Sunda Cuckoo,Cuculus lepidus,,53,10,Cuculus lepidus,,,,2345,European Storm-Petrel,Hydrobates pelagicus
2346,Common Cuckoo,Cuculus canorus,,1147,2021,Cuculus canorus,,,,2346,Fork-tailed Storm-Petrel,Oceanodroma furcata
2347,St. Helena Cuckoo,Nannococcyx psix,Extinct,0,0,Nannococcyx psix,,,,2347,Ringed Storm-Petrel,Oceanodroma hornbyi
2348,Greater Sooty Owl,Tyto tenebricosa,,29,1,Tyto tenebricosa,,,,2348,Leach's Storm-Petrel,Oceanodroma leucorhoa
2349,Lesser Sooty Owl,Tyto multipunctata,,8,0,Tyto tenebricosa,,,,2349,Townsend's Storm-Petrel,Oceanodroma socorroensis
2350,Minahassa Masked Owl,Tyto inexspectata,,4,0,Tyto inexspectata,,,,2350,Ainley's Storm-Petrel,Oceanodroma cheimomnestes
2351,Taliabu Masked Owl,Tyto nigrobrunnea,,2,0,Tyto nigrobrunnea,,,,2351,Swinhoe's Storm-Petrel,Oceanodroma monorhis
2352,Moluccan Masked Owl,Tyto sororcula,,6,0,Tyto sororcula,,,,2352,Ashy Storm-Petrel,Oceanodroma homochroa
2353,Manus Masked Owl,Tyto manusi,,0,0,Tyto manusi,,,,2353,Band-rumped Storm-Petrel,Oceanodroma castro
2354,Golden Masked Owl,Tyto aurantia,,0,0,Tyto aurantia,,,,2354,Monteiro's Storm-Petrel,Oceanodroma monteiroi
2355,Australian Masked Owl,Tyto novaehollandiae,,14,1,Tyto novaehollandiae,,,,2355,Cape Verde Storm-Petrel,Oceanodroma jabejabe
2356,Sulawesi Masked Owl,Tyto rosenbergii,,15,0,Tyto rosenbergii,,,,2356,Wedge-rumped Storm-Petrel,Oceanodroma tethys
2357,Red Owl,Tyto soumagnei,,1,0,Tyto soumagnei,,,,2357,Black Storm-Petrel,Oceanodroma melania
2358,Western Barn Owl,Tyto alba,,478,59,Tyto alba,,,,2358,Guadalupe Storm-Petrel,Oceanodroma macrodactyla
2359,American Barn Owl,Tyto furcata,,98,3,Tyto alba,,,,2359,Markham's Storm-Petrel,Oceanodroma markhami
2360,Eastern Barn Owl,Tyto javanica,,31,0,Tyto alba,,,,2360,Matsudaira's Storm-Petrel,Oceanodroma matsudairae
2361,Andaman Masked Owl,Tyto deroepstorffi,,2,0,Tyto deroepstorffi,,,,2361,Tristram's Storm-Petrel,Oceanodroma tristrami
2362,Ashy-faced Owl,Tyto glaucops,,2,0,Tyto glaucops,,,,2362,Least Storm-Petrel,Oceanodroma microsoma
2363,African Grass Owl,Tyto capensis,,1,0,Tyto capensis,,,,2363,Southern Giant-Petrel,Macronectes giganteus
2364,Eastern Grass Owl,Tyto longimembris,,1,0,Tyto longimembris,,,,2364,Northern Giant-Petrel,Macronectes halli
2365,Congo Bay Owl,Phodilus prigoginei,,0,0,Phodilus prigoginei,,,,2365,Northern Fulmar,Fulmarus glacialis
2366,Oriental Bay Owl,Phodilus badius,,54,3,Phodilus badius,,,,2366,Southern Fulmar,Fulmarus glacialoides
2367,Sri Lanka Bay Owl,Phodilus assimilis,,10,0,Phodilus assimilis,,,,2367,Antarctic Petrel,Thalassoica antarctica
2368,Giant Scops Owl,Otus gurneyi,,14,0,Otus gurneyi,,,,2368,Cape Petrel,Daption capense
2369,White-fronted Scops Owl,Otus sagittatus,,19,5,Otus sagittatus,,,,2369,Snow Petrel,Pagodroma nivea
2370,Reddish Scops Owl,Otus rufescens,,33,6,Otus rufescens,,,,2370,Kerguelen Petrel,Aphrodroma brevirostris
2371,Serendib Scops Owl,Otus thilohoffmanni,,5,1,Otus thilohoffmanni,,,,2371,Large St. Helena Petrel,Pterodroma rupinarum
2372,Sandy Scops Owl,Otus icterorhynchus,,3,0,Otus icterorhynchus,,,,2372,Great-winged Petrel,Pterodroma macroptera
2373,Sokoke Scops Owl,Otus ireneae,,2,0,Otus ireneae,,,,2373,Gray-faced Petrel,Pterodroma gouldi
2374,Andaman Scops Owl,Otus balli,,9,0,Otus balli,,,,2374,Kermadec Petrel,Pterodroma neglecta
2375,Flores Scops Owl,Otus alfredi,,23,0,Otus alfredi,,,,2375,Magenta Petrel,Pterodroma magentae
2376,Mountain Scops Owl,Otus spilocephalus,,93,11,Otus spilocephalus,,,,2376,Trindade Petrel,Pterodroma arminjoniana
2377,Rajah Scops Owl,Otus brookii,,3,0,Otus brookii,,,,2377,Herald Petrel,Pterodroma heraldica
2378,Javan Scops Owl,Otus angelinae,,10,0,Otus angelinae,,,,2378,Murphy's Petrel,Pterodroma ultima
2379,Mentawai Scops Owl,Otus mentawi,,5,0,Otus mentawi,,,,2379,Providence Petrel,Pterodroma solandri
2380,Indian Scops Owl,Otus bakkamoena,,39,1,Otus bakkamoena,,,,2380,Henderson Petrel,Pterodroma atrata
2381,Collared Scops Owl,Otus lettia,,70,9,Otus lettia,,,,2381,Zino's Petrel,Pterodroma madeira
2382,Japanese Scops Owl,Otus semitorques,,74,1,Otus semitorques,,,,2382,Fea's Petrel,Pterodroma feae
2383,Sunda Scops Owl,Otus lempiji,,48,6,Otus lempiji,,,,2383,Soft-plumaged Petrel,Pterodroma mollis
2384,Palawan Scops Owl,Otus fuliginosus,,7,0,Otus fuliginosus,,,,2384,Barau's Petrel,Pterodroma baraui
2385,Philippine Scops Owl,Otus megalotis,,4,0,Otus megalotis,,,,2385,White-headed Petrel,Pterodroma lessonii
2386,Everett's Scops Owl,Otus everetti,,5,0,Otus everetti,,,,2386,Mottled Petrel,Pterodroma inexpectata
2387,Negros Scops Owl,Otus nigrorum,,7,0,Otus nigrorum,,,,2387,Bermuda Petrel,Pterodroma cahow
2388,Wallace's Scops Owl,Otus silvicola,,11,0,Otus silvicola,,,,2388,Black-capped Petrel,Pterodroma hasitata
2389,Mindanao Scops Owl,Otus mirus,,4,0,Otus mirus,,,,2389,Juan Fernandez Petrel,Pterodroma externa
2390,Luzon Scops Owl,Otus longicornis,,3,0,Otus longicornis,,,,2390,Atlantic Petrel,Pterodroma incerta
2391,Mindoro Scops Owl,Otus mindorensis,,1,0,Otus mindorensis,,,,2391,Galapagos Petrel,Pterodroma phaeopygia
2392,Pallid Scops Owl,Otus brucei,,12,2,Otus brucei,,,,2392,Hawaiian Petrel,Pterodroma sandwichensis
2393,African Scops Owl,Otus senegalensis,,71,9,Otus senegalensis,,,,2393,White-necked Petrel,Pterodroma cervicalis
2394,Arabian Scops Owl,Otus pamelae,,30,3,Otus pamelae,,,,2394,Bonin Petrel,Pterodroma hypoleuca
2395,Eurasian Scops Owl,Otus scops,,371,51,Otus scops,,,,2395,Black-winged Petrel,Pterodroma nigripennis
2396,Cyprus Scops Owl,Otus cyprius,,21,3,Otus scops,,,,2396,Chatham Petrel,Pterodroma axillaris
2397,Oriental Scops Owl,Otus sunia,,62,9,Otus sunia,,,,2397,Cook's Petrel,Pterodroma cookii
2398,Socotra Scops Owl,Otus socotranus,,3,0,Otus socotranus,,,,2398,Masatierra Petrel,Pterodroma defilippiana
2399,Moluccan Scops Owl,Otus magicus,,58,3,Otus magicus,,,,2399,Gould's Petrel,Pterodroma leucoptera
2400,Rinjani Scops Owl,Otus jolandae,,13,1,Otus jolandae,,,,2400,Collared Petrel,Pterodroma brevipes
2401,Sula Scops Owl,Otus sulaensis,,0,0,Otus sulaensis,,,,2401,Stejneger's Petrel,Pterodroma longirostris
2402,Siau Scops Owl,Otus siaoensis,,0,0,Otus siaoensis,,,,2402,Pycroft's Petrel,Pterodroma pycrofti
2403,Mantanani Scops Owl,Otus mantananensis,,20,1,Otus mantananensis,,,,2403,Phoenix Petrel,Pterodroma alba
2404,Ryukyu Scops Owl,Otus elegans,,85,7,Otus elegans,,,,2404,Vanuatu Petrel,Pterodroma occulta
2405,Sulawesi Scops Owl,Otus manadensis,,32,5,Otus manadensis,,,,2405,Blue Petrel,Halobaena caerulea
2406,Sangihe Scops Owl,Otus collari,,3,0,Otus collari,,,,2406,Fairy Prion,Pachyptila turtur
2407,Biak Scops Owl,Otus beccarii,,5,0,Otus beccarii,,,,2407,Broad-billed Prion,Pachyptila vittata
2408,Seychelles Scops Owl,Otus insularis,,5,0,Otus insularis,,,,2408,Salvin's Prion,Pachyptila salvini
2409,Simeulue Scops Owl,Otus umbra,,20,0,Otus umbra,,,,2409,Antarctic Prion,Pachyptila desolata
2410,Enggano Scops Owl,Otus enganensis,,1,0,Otus enganensis,,,,2410,Slender-billed Prion,Pachyptila belcheri
2411,Nicobar Scops Owl,Otus alius,,2,0,Otus alius,,,,2411,Fulmar Prion,Pachyptila crassirostris
2412,Pemba Scops Owl,Otus pembaensis,,11,0,Otus pembaensis,,,,2412,Bulwer's Petrel,Bulweria bulwerii
2413,Karthala Scops Owl,Otus pauliani,,7,0,Otus pauliani,,,,2413,Jouanin's Petrel,Bulweria fallax
2414,Anjouan Scops Owl,Otus capnodes,,4,0,Otus capnodes,,,,2414,Small St. Helena Petrel,Bulweria bifax
2415,Moheli Scops Owl,Otus moheliensis,,4,0,Otus moheliensis,,,,2415,Fiji Petrel,Pseudobulweria macgillivrayi
2416,Mayotte Scops Owl,Otus mayottensis,,3,0,Otus mayottensis,,,,2416,Mascarene Petrel,Pseudobulweria aterrima
2417,Torotoroka Scops Owl,Otus madagascariensis,,13,1,Otus madagascariensis,,,,2417,Tahiti Petrel,Pseudobulweria rostrata
2418,Rainforest Scops Owl,Otus rutilus,,21,0,Otus rutilus,,,,2418,Beck's Petrel,Pseudobulweria becki
2419,Sao Tome Scops Owl,Otus hartlaubi,,4,15,Otus hartlaubi,,,,2419,Gray Petrel,Procellaria cinerea
2420,Reunion Owl,Mascarenotus grucheti,Extinct,0,0,Otus grucheti,,,,2420,White-chinned Petrel,Procellaria aequinoctialis
2421,Mauritius Owl,Mascarenotus sauzieri,Extinct,0,0,Otus sauzieri,,,,2421,Spectacled Petrel,Procellaria conspicillata
2422,Rodrigues Owl,Mascarenotus murivorus,Extinct,0,0,Otus murivorus,,,,2422,Parkinson's Petrel,Procellaria parkinsoni
2423,Flammulated Owl,Psiloscops flammeolus,,113,18,Psiloscops flammeolus,,,,2423,Westland Petrel,Procellaria westlandica
2424,Eastern Screech Owl,Megascops asio,,101,11,Megascops asio,,,,2424,Streaked Shearwater,Calonectris leucomelas
2425,Western Screech Owl,Megascops kennicottii,,173,42,Megascops kennicottii,,,,2425,Cory's Shearwater,Calonectris diomedea
2426,Balsas Screech Owl,Megascops seductus,,8,3,Megascops seductus,,,,2426,Cape Verde Shearwater,Calonectris edwardsii
2427,Pacific Screech Owl,Megascops cooperi,,28,1,Megascops cooperi,,,,2427,Pink-footed Shearwater,Ardenna creatopus
2428,Whiskered Screech Owl,Megascops trichopsis,,79,21,Megascops trichopsis,,,,2428,Flesh-footed Shearwater,Ardenna carneipes
2429,Tropical Screech Owl,Megascops choliba,,293,21,Megascops choliba,,,,2429,Great Shearwater,Ardenna gravis
2430,West Peruvian Screech Owl,Megascops roboratus,,49,2,Megascops roboratus,,,,2430,Wedge-tailed Shearwater,Ardenna pacifica
2431,Koepcke's Screech Owl,Megascops koepckeae,,57,0,Megascops koepckeae,,,,2431,Buller's Shearwater,Ardenna bulleri
2432,Bare-shanked Screech Owl,Megascops clarkii,,21,1,Megascops clarkii,,,,2432,Sooty Shearwater,Ardenna grisea
2433,Bearded Screech Owl,Megascops barbarus,,4,0,Megascops barbarus,,,,2433,Short-tailed Shearwater,Ardenna tenuirostris
2434,Rufescent Screech Owl,Megascops ingens,,80,5,Megascops ingens,,,,2434,Christmas Shearwater,Puffinus nativitatis
2435,Cinnamon Screech Owl,Megascops petersoni,,37,1,Megascops petersoni,,,,2435,Galapagos Shearwater,Puffinus subalaris
2436,Cloud-forest Screech Owl,Megascops marshalli,,22,0,Megascops marshalli,,,,2436,Manx Shearwater,Puffinus puffinus
2437,Tawny-bellied Screech Owl,Megascops watsonii,,166,225,Megascops watsonii,,,,2437,Yelkouan Shearwater,Puffinus yelkouan
2438,Middle American Screech Owl,Megascops guatemalae,,25,10,Megascops guatemalae,,,,2438,Balearic Shearwater,Puffinus mauretanicus
2439,Vermiculated Screech Owl,Megascops vermiculatus,,7,0,Megascops guatemalae,,,,2439,Hutton's Shearwater,Puffinus huttoni
2440,Foothill Screech Owl,Megascops roraimae,,64,1,Megascops roraimae,,,,2440,Bannerman's Shearwater,Puffinus bannermani
2441,Choco Screech Owl,Megascops centralis,,35,1,Megascops centralis,,,,2441,Townsend's Shearwater,Puffinus auricularis
2442,Yungas Screech Owl,Megascops hoyi,,23,2,Megascops hoyi,,,,2442,Newell's Shearwater,Puffinus newelli
2443,Black-capped Screech Owl,Megascops atricapilla,,87,2,Megascops atricapilla,,,,2443,Rapa Shearwater,Puffinus myrtae
2444,Long-tufted Screech Owl,Megascops sanctaecatarinae,,52,1,Megascops sanctaecatarinae,,,,2444,Bryan's Shearwater,Puffinus bryani
2445,Puerto Rican Screech Owl,Megascops nudipes,,16,3,Megascops nudipes,,,,2445,Black-vented Shearwater,Puffinus opisthomelas
2446,White-throated Screech Owl,Megascops albogularis,,75,8,Megascops albogularis,,,,2446,Fluttering Shearwater,Puffinus gavia
2447,Santa Marta Screech Owl,Megascops gilesi,,35,0,Megascops gilesi,,,,2447,Little Shearwater,Puffinus assimilis
2448,Palau Owl,Pyrroglaux podargina,,1,0,Pyrroglaux podargina,,,,2448,Subantarctic Shearwater,Puffinus elegans
2449,Bare-legged Owl,Margarobyas lawrencii,,1,2,Margarobyas lawrencii,,,,2449,Barolo Shearwater,Puffinus baroli
2450,Northern White-faced Owl,Ptilopsis leucotis,,17,0,Ptilopsis leucotis,,,,2450,Boyd's Shearwater,Puffinus boydi
2451,Southern White-faced Owl,Ptilopsis granti,,7,0,Ptilopsis granti,,,,2451,Audubon's Shearwater,Puffinus lherminieri
2452,Snowy Owl,Bubo scandiacus,,21,0,Bubo scandiacus,,,,2452,Tropical Shearwater,Puffinus bailloni
2453,Great Horned Owl,Bubo virginianus,,344,109,Bubo virginianus,,,,2453,Persian Shearwater,Puffinus persicus
2454,Lesser Horned Owl,Bubo magellanicus,,39,1,Bubo virginianus,,,,2454,Heinroth's Shearwater,Puffinus heinrothi
2455,Eurasian Eagle-Owl,Bubo bubo,,346,50,Bubo bubo,,,,2455,Peruvian Diving-Petrel,Pelecanoides garnotii
2456,Indian Eagle-Owl,Bubo bengalensis,,4,0,Bubo bengalensis,,,,2456,Common Diving-Petrel,Pelecanoides urinatrix
2457,Pharaoh Eagle-Owl,Bubo ascalaphus,,11,0,Bubo ascalaphus,,,,2457,South Georgia Diving-Petrel,Pelecanoides georgicus
2458,Cape Eagle-Owl,Bubo capensis,,1,0,Bubo capensis,,,,2458,Magellanic Diving-Petrel,Pelecanoides magellani
2459,Spotted Eagle-Owl,Bubo africanus,,49,7,Bubo africanus,,,,2459,Asian Openbill,Anastomus oscitans
2460,Greyish Eagle-Owl,Bubo cinerascens,,10,0,Bubo cinerascens,,,,2460,African Openbill,Anastomus lamelligerus
2461,Fraser's Eagle-Owl,Bubo poensis,,2,0,Bubo poensis,,,,2461,Black Stork,Ciconia nigra
2462,Usambara Eagle-Owl,Bubo vosseleri,,8,0,Bubo vosseleri,,,,2462,Abdim's Stork,Ciconia abdimii
2463,Spot-bellied Eagle-Owl,Bubo nipalensis,,25,0,Bubo nipalensis,,,,2463,Woolly-necked Stork,Ciconia episcopus
2464,Barred Eagle-Owl,Bubo sumatranus,,24,2,Bubo sumatranus,,,,2464,Storm's Stork,Ciconia stormi
2465,Shelley's Eagle-Owl,Bubo shelleyi,,1,0,Bubo shelleyi,,,,2465,Maguari Stork,Ciconia maguari
2466,Verreaux's Eagle-Owl,Bubo lacteus,,19,6,Bubo lacteus,,,,2466,White Stork,Ciconia ciconia
2467,Dusky Eagle-Owl,Bubo coromandus,,7,0,Bubo coromandus,,,,2467,Oriental Stork,Ciconia boyciana
2468,Akun Eagle-Owl,Bubo leucostictus,,4,0,Bubo leucostictus,,,,2468,Black-necked Stork,Ephippiorhynchus asiaticus
2469,Philippine Eagle-Owl,Bubo philippensis,,2,0,Bubo philippensis,,,,2469,Saddle-billed Stork,Ephippiorhynchus senegalensis
2470,Blakiston's Fish Owl,Bubo blakistoni,,12,0,Ketupa blakistoni,,,,2470,Jabiru,Jabiru mycteria
2471,Brown Fish Owl,Ketupa zeylonensis,,13,3,Ketupa zeylonensis,,,,2471,Lesser Adjutant,Leptoptilos javanicus
2472,Tawny Fish Owl,Ketupa flavipes,,7,0,Ketupa flavipes,,,,2472,Marabou Stork,Leptoptilos crumenifer
2473,Buffy Fish Owl,Ketupa ketupu,,13,1,Ketupa ketupu,,,,2473,Greater Adjutant,Leptoptilos dubius
2474,Pel's Fishing Owl,Scotopelia peli,,9,1,Scotopelia peli,,,,2474,Wood Stork,Mycteria americana
2475,Rufous Fishing Owl,Scotopelia ussheri,,5,0,Scotopelia ussheri,,,,2475,Milky Stork,Mycteria cinerea
2476,Vermiculated Fishing Owl,Scotopelia bouvieri,,6,1,Scotopelia bouvieri,,,,2476,Yellow-billed Stork,Mycteria ibis
2477,Spotted Wood Owl,Strix seloputo,,18,3,Strix seloputo,,,,2477,Painted Stork,Mycteria leucocephala
2478,Mottled Wood Owl,Strix ocellata,,34,0,Strix ocellata,,,,2478,Lesser Frigatebird,Fregata ariel
