GenBank_taxid,GenBank_name,GenBank_group,eBirdClements2022_Names,eBird_Group,Clements_Order,Clements_Family,Reconciliation
1218692,Chloropsis palawanensis,species,Chloropsis palawanensis,species,Passeriformes,Chloropseidae (Leafbirds),
452102,Chloropsis sonnerati,species,Chloropsis sonnerati,species,Passeriformes,Chloropseidae (Leafbirds),
1218693,Chloropsis sonnerati sonnerati,subspecies,Chloropsis sonnerati sonnerati,subspecies,Passeriformes,Chloropseidae (Leafbirds),
1218694,Chloropsis sonnerati zosterops,subspecies,Chloropsis sonnerati zosterops,subspecies,Passeriformes,Chloropseidae (Leafbirds),
1218695,Chloropsis venusta,species,Chloropsis venusta,species,Passeriformes,Chloropseidae (Leafbirds),
62169,Chlorornis riefferii,species,Chlorornis riefferii,species,Passeriformes,Thraupidae (Tanagers and Allies),
166059,Chlorospingus canigularis,species,Chlorospingus canigularis,species,Passeriformes,Passerellidae (New World Sparrows),
633172,Chlorospingus canigularis olivaceiceps,subspecies,Chlorospingus canigularis olivaceiceps,group (monotypic),Passeriformes,Passerellidae (New World Sparrows),
633171,Chlorospingus canigularis paulus,subspecies,Chlorospingus canigularis paulus,subspecies,Passeriformes,Passerellidae (New World Sparrows),
633170,Chlorospingus canigularis signatus,subspecies,Chlorospingus canigularis signatus,subspecies,Passeriformes,Passerellidae (New World Sparrows),
166060,Chlorospingus flavigularis,species,Chlorospingus flavigularis,species,Passeriformes,Passerellidae (New World Sparrows),
633173,Chlorospingus flavigularis flavigularis,subspecies,Chlorospingus flavigularis flavigularis,subspecies,Passeriformes,Passerellidae (New World Sparrows),
633174,Chlorospingus flavigularis hypophaeus,subspecies,Chlorospingus flavigularis hypophaeus,group (monotypic),Passeriformes,Passerellidae (New World Sparrows),
633175,Chlorospingus flavigularis marginatus,subspecies,Chlorospingus flavigularis marginatus,subspecies,Passeriformes,Passerellidae (New World Sparrows),
2690796,Chlorospingus flavopectus,species,Chlorospingus flavopectus,species,Passeriformes,Passerellidae (New World Sparrows),
2806506,Chlorospingus flavopectus phaeocephalus,subspecies,Chlorospingus flavopectus phaeocephalus,subspecies,Passeriformes,Passerellidae (New World Sparrows),
1874781,Chlorospingus flavovirens,species,Bangsia flavovirens,species,Passeriformes,Thraupidae (Tanagers and Allies),taxonomy
516643,Chlorospingus inornatus,species,Chlorospingus inornatus,species,Passeriformes,Passerellidae (New World Sparrows),
166061,Chlorospingus ophthalmicus,species,Chlorospingus flavopectus ophthalmicus,group (monotypic),Passeriformes,Passerellidae (New World Sparrows),lump
516646,Chlorospingus ophthalmicus albifrons,subspecies,Chlorospingus flavopectus albifrons,group (monotypic),Passeriformes,Passerellidae (New World Sparrows),taxonomy
516647,Chlorospingus ophthalmicus argentinus,subspecies,Chlorospingus flavopectus argentinus,group (monotypic),Passeriformes,Passerellidae (New World Sparrows),taxonomy
166062,Chlorospingus ophthalmicus bolivianus,subspecies,Chlorospingus flavopectus bolivianus,group (monotypic),Passeriformes,Passerellidae (New World Sparrows),taxonomy
516648,Chlorospingus ophthalmicus cinereocephalus,subspecies,Chlorospingus flavopectus cinereocephalus,group (monotypic),Passeriformes,Passerellidae (New World Sparrows),taxonomy
516649,Chlorospingus ophthalmicus dwighti,subspecies,Chlorospingus flavopectus dwighti,subspecies,Passeriformes,Passerellidae (New World Sparrows),taxonomy
516658,Chlorospingus ophthalmicus fulvigularis,species,Chlorospingus flavopectus fulvigularis,group (monotypic),Passeriformes,Passerellidae (New World Sparrows),taxonomy
166064,Chlorospingus ophthalmicus hiaticolus,subspecies,Chlorospingus flavopectus hiaticolus,subspecies,Passeriformes,Passerellidae (New World Sparrows),taxonomy
516650,Chlorospingus ophthalmicus honduratius,subspecies,Chlorospingus flavopectus honduratius,subspecies,Passeriformes,Passerellidae (New World Sparrows),taxonomy
516651,Chlorospingus ophthalmicus jaqueti,subspecies,Chlorospingus flavopectus jacqueti,subspecies,Passeriformes,Passerellidae (New World Sparrows),taxonomy
516652,Chlorospingus ophthalmicus ophthalmicus,subspecies,Chlorospingus flavopectus ophthalmicus,group (monotypic),Passeriformes,Passerellidae (New World Sparrows),taxonomy
516653,Chlorospingus ophthalmicus peruvianus,subspecies,Chlorospingus flavopectus peruvianus,group (monotypic),Passeriformes,Passerellidae (New World Sparrows),taxonomy
166063,Chlorospingus ophthalmicus phaeocephalus,subspecies,Chlorospingus flavopectus phaeocephalus,subspecies,Passeriformes,Passerellidae (New World Sparrows),taxonomy
516654,Chlorospingus ophthalmicus postocularis,subspecies,Chlorospingus flavopectus postocularis,subspecies,Passeriformes,Passerellidae (New World Sparrows),taxonomy
516655,Chlorospingus ophthalmicus punctulatus,subspecies,Chlorospingus flavopectus punctulatus,group (monotypic),Passeriformes,Passerellidae (New World Sparrows),taxonomy
516656,Chlorospingus ophthalmicus regionalis,subspecies,Chlorospingus flavopectus regionalis,subspecies,Passeriformes,Passerellidae (New World Sparrows),taxonomy
516657,Chlorospingus ophthalmicus wetmorei,subspecies,Chlorospingus flavopectus wetmorei,subspecies,Passeriformes,Passerellidae (New World Sparrows),taxonomy
166065,Chlorospingus parvirostris,species,Chlorospingus parvirostris,species,Passeriformes,Passerellidae (New World Sparrows),
633169,Chlorospingus parvirostris medianus,subspecies,Chlorospingus parvirostris medianus,subspecies,Passeriformes,Passerellidae (New World Sparrows),
62171,Chlorospingus pileatus,species,Chlorospingus pileatus,species,Passeriformes,Passerellidae (New World Sparrows),
166066,Chlorospingus semifuscus,species,Chlorospingus semifuscus,species,Passeriformes,Passerellidae (New World Sparrows),
2856565,Chlorospingus semifuscus livingstoni,subspecies,Chlorospingus semifuscus livingstoni,subspecies,Passeriformes,Passerellidae (New World Sparrows),
2856564,Chlorospingus semifuscus semifuscus,subspecies,Chlorospingus semifuscus semifuscus,subspecies,Passeriformes,Passerellidae (New World Sparrows),
2856566,Chlorospingus sp. Chimborazo,species,,,,,unidentified
2856567,Chlorospingus sp. El Oro,species,,,,,unidentified
516644,Chlorospingus tacarcunae,species,Chlorospingus tacarcunae,species,Passeriformes,Passerellidae (New World Sparrows),
2744911,Chlorostilbon alice,species,Chlorostilbon alice,species,Caprimulgiformes,Trochilidae (Hummingbirds),
1507372,Chlorostilbon assimilis,species,Chlorostilbon assimilis,species,Caprimulgiformes,Trochilidae (Hummingbirds),
2724698,Chlorostilbon auriceps,species,Cynanthus auriceps,species,Caprimulgiformes,Trochilidae (Hummingbirds),taxonomy
1315734,Chlorostilbon canivetii,species,Cynanthus canivetii canivetii,subspecies,Caprimulgiformes,Trochilidae (Hummingbirds),taxonomy
2724699,Chlorostilbon forficatus,species,Cynanthus forficatus,species,Caprimulgiformes,Trochilidae (Hummingbirds),taxonomy
1507376,Chlorostilbon lucidus,species,Chlorostilbon lucidus,species,Caprimulgiformes,Trochilidae (Hummingbirds),
1507377,Chlorostilbon lucidus pucherani,subspecies,Chlorostilbon lucidus pucherani,subspecies,Caprimulgiformes,Trochilidae (Hummingbirds),
200362,Chlorostilbon maugaeus,species,Riccordia maugaeus,species,Caprimulgiformes,Trochilidae (Hummingbirds),taxonomy
304607,Chlorostilbon melanorhynchus,species,Chlorostilbon melanorhynchus,species,Caprimulgiformes,Trochilidae (Hummingbirds),
200367,Chlorostilbon mellisugus,species,Chlorostilbon mellisugus,species,Caprimulgiformes,Trochilidae (Hummingbirds),
689209,Chlorostilbon poortmani,species,Chlorostilbon poortmani,species,Caprimulgiformes,Trochilidae (Hummingbirds),
1507373,Chlorostilbon ricordii,species,Riccordia ricordii,species,Caprimulgiformes,Trochilidae (Hummingbirds),taxonomy
1507374,Chlorostilbon salvini,species,Cynanthus canivetii salvini,subspecies,Caprimulgiformes,Trochilidae (Hummingbirds),lump
1507375,Chlorostilbon swainsonii,species,Riccordia swainsonii,species,Caprimulgiformes,Trochilidae (Hummingbirds),taxonomy
62173,Chlorothraupis carmioli,species,Chlorothraupis carmioli,species,Passeriformes,Cardinalidae (Cardinals and Allies),
460169,Chlorothraupis olivacea,species,Chlorothraupis olivacea,species,Passeriformes,Cardinalidae (Cardinals and Allies),
460198,Chlorothraupis stolzmanni,species,Chlorothraupis stolzmanni,species,Passeriformes,Cardinalidae (Cardinals and Allies),
2485340,Cholornis unicolor,species,Cholornis unicolor,species,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",
158616,Chondestes grammacus,species,Chondestes grammacus,species,Passeriformes,Passerellidae (New World Sparrows),
321078,Chondrohierax uncinatus,species,Chondrohierax uncinatus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
455645,Chondrohierax uncinatus wilsonii,subspecies,Chondrohierax wilsonii,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",split
2800391,Chondrohierax wilsonii,species,Chondrohierax wilsonii,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
118183,Chordeiles acutipennis,species,Chordeiles acutipennis,species,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),
48398,Chordeiles minor,species,Chordeiles minor,species,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),
723269,Chordeiles pusillus,species,Chordeiles pusillus,species,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),
48289,Chordeiles rupestris,species,Chordeiles rupestris,species,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),
2772041,Chroicocephalus brunnicephalus,species,Chroicocephalus brunnicephalus,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",
2497793,Chroicocephalus bulleri,species,Chroicocephalus bulleri,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",
1192863,Chroicocephalus cirrocephalus,species,Chroicocephalus cirrocephalus,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",
287017,Chroicocephalus cirrocephalus poiocephalus,subspecies,Chroicocephalus cirrocephalus poiocephalus,subspecies,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",
1569666,Chroicocephalus genei,species,Chroicocephalus genei,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",
287016,Chroicocephalus maculipennis,species,Chroicocephalus maculipennis,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",
2547444,Chroicocephalus novaehollandiae,species,Chroicocephalus novaehollandiae,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",
1192867,Chroicocephalus ridibundus,species,Chroicocephalus ridibundus,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",
1333527,Chroicocephalus ridibundus ridibundus,subspecies,Chroicocephalus ridibundus,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",split
1132478,Chroicocephalus saundersi,species,Saundersilarus saundersi,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",taxonomy
126716,Chroicocephalus scopulinus,species,Chroicocephalus novaehollandiae scopulinus,group (monotypic),Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",lump
196523,Chrysococcyx basalis,species,Chrysococcyx basalis,species,Cuculiformes,Cuculidae (Cuckoos),
2506944,Chrysococcyx caprius,species,Chrysococcyx caprius,species,Cuculiformes,Cuculidae (Cuckoos),
1961840,Chrysococcyx cupreus,species,Chrysococcyx cupreus,species,Cuculiformes,Cuculidae (Cuckoos),
196526,Chrysococcyx flavigularis,species,Chrysococcyx flavigularis,species,Cuculiformes,Cuculidae (Cuckoos),
55667,Chrysococcyx klaas,species,Chrysococcyx klaas,species,Cuculiformes,Cuculidae (Cuckoos),
103952,Chrysococcyx lucidus,species,Chrysococcyx lucidus,species,Cuculiformes,Cuculidae (Cuckoos),
196527,Chrysococcyx lucidus plagosus,subspecies,Chrysococcyx lucidus plagosus,group (monotypic),Cuculiformes,Cuculidae (Cuckoos),taxonomy
1463787,Chrysococcyx maculatus,species,Chrysococcyx maculatus,species,Cuculiformes,Cuculidae (Cuckoos),
78196,Chrysococcyx osculans,species,Chrysococcyx osculans,species,Cuculiformes,Cuculidae (Cuckoos),
1463789,Chrysococcyx xanthorhynchus,species,Chrysococcyx xanthorhynchus,species,Cuculiformes,Cuculidae (Cuckoos),
1517780,Chrysocolaptes haematribon,species,Chrysocolaptes haematribon,species,Piciformes,Picidae (Woodpeckers),
315365,Chrysocolaptes lucidus,species,Chrysocolaptes lucidus,species,Piciformes,Picidae (Woodpeckers),
1517788,Chrysocolaptes lucidus chersonesus,subspecies,Chrysocolaptes guttacristatus indomalayicus,subspecies,Piciformes,Picidae (Woodpeckers),taxonomy
1658596,Chrysocolaptes lucidus erythrocephalus,subspecies,Chrysocolaptes erythrocephalus,species,Piciformes,Picidae (Woodpeckers),split
1517779,Chrysocolaptes lucidus guttacristatus,subspecies,Chrysocolaptes guttacristatus guttacristatus,subspecies,Piciformes,Picidae (Woodpeckers),taxonomy
1454390,Chrysocolaptes lucidus montanus,subspecies,Chrysocolaptes lucidus montanus,subspecies,Piciformes,Picidae (Woodpeckers),
1517781,Chrysocolaptes strictus,subspecies,Chrysocolaptes strictus,species,Piciformes,Picidae (Woodpeckers),
1517782,Chrysocolaptes xanthocephalus,subspecies,Chrysocolaptes xanthocephalus,species,Piciformes,Picidae (Woodpeckers),
472795,Chrysolampis mosquitus,species,Chrysolampis mosquitus,species,Caprimulgiformes,Trochilidae (Hummingbirds),
9088,Chrysolophus amherstiae,species,Chrysolophus amherstiae,species,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",
9089,Chrysolophus pictus,species,Chrysolophus pictus,species,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",
204939,Chrysolophus pictus infuscatus,subspecies,Chrysolophus pictus,species,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",split
204940,Chrysolophus pictus obscurus,subspecies,Chrysolophus pictus,species,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",split
201349,Chrysominla strigula,species,Actinodura strigula,species,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),taxonomy
2183875,Chrysominla strigula malayana,subspecies,Actinodura strigula malayana,subspecies,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),taxonomy
520219,Chrysominla strigula yunnanensis,subspecies,Actinodura strigula yunnanensis,subspecies,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),taxonomy
201304,Chrysomma sinense,species,Chrysomma sinense,species,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",
634294,Chrysomma sinense sinense,subspecies,Chrysomma sinense sinense,subspecies,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",
993346,Chrysomus icterocephalus,species,Chrysomus icterocephalus,species,Passeriformes,Icteridae (Troupials and Allies),
993348,Chrysomus icterocephalus bogotensis,subspecies,Chrysomus icterocephalus bogotensis,subspecies,Passeriformes,Icteridae (Troupials and Allies),
993347,Chrysomus icterocephalus icterocephalus,subspecies,Chrysomus icterocephalus icterocephalus,subspecies,Passeriformes,Icteridae (Troupials and Allies),
555234,Chrysomus ruficapillus,species,Chrysomus ruficapillus,species,Passeriformes,Icteridae (Troupials and Allies),
1567489,Chrysophlegma flavinucha,species,Chrysophlegma flavinucha,species,Piciformes,Picidae (Woodpeckers),
1517839,Chrysophlegma mentale,species,Chrysophlegma mentale,species,Piciformes,Picidae (Woodpeckers),
315366,Chrysophlegma miniaceum,species,Chrysophlegma miniaceum,species,Piciformes,Picidae (Woodpeckers),
62175,Chrysothlypis chrysomelas,species,Chrysothlypis chrysomelas,species,Passeriformes,Thraupidae (Tanagers and Allies),
1226177,Chrysothlypis salmoni,species,Chrysothlypis salmoni,species,Passeriformes,Thraupidae (Tanagers and Allies),
304609,Chrysuronia oenone,species,Chrysuronia oenone,species,Caprimulgiformes,Trochilidae (Hummingbirds),
1352770,Chunga burmeisteri,species,Chunga burmeisteri,species,Cariamiformes,Cariamidae (Seriemas),
1118524,Ciccaba nigrolineata,species,Strix nigrolineata,species,Strigiformes,Strigidae (Owls),taxonomy
2840665,Cichladusa arquata,species,Cichladusa arquata,species,Passeriformes,Muscicapidae (Old World Flycatchers),
757456,Cichladusa guttata,species,Cichladusa guttata,species,Passeriformes,Muscicapidae (Old World Flycatchers),
1094394,Cichlocolaptes leucophrus,species,Cichlocolaptes leucophrus,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),
164899,Cichlopsis leucogenys,species,Cichlopsis leucogenys,species,Passeriformes,Turdidae (Thrushes and Allies),
36263,Cicinnurus regius,species,Cicinnurus regius,species,Passeriformes,Paradisaeidae (Birds-of-Paradise),
39789,Ciconia abdimii,species,Ciconia abdimii,species,Ciconiiformes,Ciconiidae (Storks),
52775,Ciconia boyciana,species,Ciconia boyciana,species,Ciconiiformes,Ciconiidae (Storks),
8928,Ciconia ciconia,species,Ciconia ciconia,species,Ciconiiformes,Ciconiidae (Storks),
1333478,Ciconia ciconia ciconia,subspecies,Ciconia ciconia ciconia,subspecies,Ciconiiformes,Ciconiidae (Storks),
52776,Ciconia episcopus,species,Ciconia episcopus,species,Ciconiiformes,Ciconiidae (Storks),
52777,Ciconia maguari,species,Ciconia maguari,species,Ciconiiformes,Ciconiidae (Storks),
36241,Ciconia nigra,species,Ciconia nigra,species,Ciconiiformes,Ciconiidae (Storks),
52778,Ciconia stormi,species,Ciconia stormi,species,Ciconiiformes,Ciconiidae (Storks),
816797,Ciconiiformes sp. BOLD:AAE7675,species,,,,,unidentified
757458,Cinclidium frontale,species,Cinclidium frontale,species,Passeriformes,Muscicapidae (Old World Flycatchers),
111979,Cinclocerthia gutturalis,species,Cinclocerthia gutturalis,species,Passeriformes,Mimidae (Mockingbirds and Thrashers),
58197,Cinclocerthia ruficauda,species,Cinclocerthia ruficauda,species,Passeriformes,Mimidae (Mockingbirds and Thrashers),
1094395,Cinclodes albidiventris,species,Cinclodes albidiventris,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),
1094396,Cinclodes albiventris,species,Cinclodes albiventris,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),
279543,Cinclodes antarcticus,species,Cinclodes antarcticus,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),
279544,Cinclodes aricomae,species,Cinclodes aricomae,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),
279545,Cinclodes atacamensis,species,Cinclodes atacamensis,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),
279546,Cinclodes comechingonus,species,Cinclodes comechingonus,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),
1125946,Cinclodes espinhacensis,species,Cinclodes pabsti espinhacensis,group (monotypic),Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),lump
279547,Cinclodes excelsior,species,Cinclodes excelsior,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),
279548,Cinclodes fuscus,species,Cinclodes fuscus,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),
668903,Cinclodes fuscus fuscus,subspecies,Cinclodes fuscus,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),split
668902,Cinclodes fuscus oreobates,subspecies,Cinclodes albidiventris oreobates,subspecies,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),taxonomy
279549,Cinclodes nigrofumosus,species,Cinclodes nigrofumosus,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),
279550,Cinclodes olrogi,species,Cinclodes olrogi,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),
279551,Cinclodes oustaleti,species,Cinclodes oustaleti,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),
279552,Cinclodes pabsti,species,Cinclodes pabsti,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),
279553,Cinclodes palliatus,species,Cinclodes palliatus,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),
279554,Cinclodes patagonicus,species,Cinclodes patagonicus,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),
279555,Cinclodes taczanowskii,species,Cinclodes taczanowskii,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),
979576,Cincloramphus cruralis,species,Cincloramphus cruralis,species,Passeriformes,Locustellidae (Grassbirds and Allies),
2163164,Cincloramphus macrurus,species,Cincloramphus macrurus,species,Passeriformes,Locustellidae (Grassbirds and Allies),
2163165,Cincloramphus macrurus interscapularis,subspecies,Cincloramphus macrurus interscapularis,subspecies,Passeriformes,Locustellidae (Grassbirds and Allies),
237418,Cincloramphus mathewsi,species,Cincloramphus mathewsi,species,Passeriformes,Locustellidae (Grassbirds and Allies),
980225,Cincloramphus timoriensis,species,Cincloramphus timoriensis,species,Passeriformes,Locustellidae (Grassbirds and Allies),
2169441,Cincloramphus timoriensis crex,subspecies,Cincloramphus timoriensis crex,subspecies,Passeriformes,Locustellidae (Grassbirds and Allies),
2169440,Cincloramphus timoriensis tweeddalei,subspecies,Cincloramphus timoriensis tweeddalei,subspecies,Passeriformes,Locustellidae (Grassbirds and Allies),
1110501,Cinclosoma ajax,species,Cinclosoma ajax,species,Passeriformes,Cinclosomatidae (Quail-thrushes and Jewel-babblers),
2496833,Cinclosoma ajax ajax,subspecies,Cinclosoma ajax ajax,subspecies,Passeriformes,Cinclosomatidae (Quail-thrushes and Jewel-babblers),
2496834,Cinclosoma ajax alare,subspecies,Cinclosoma ajax alare,subspecies,Passeriformes,Cinclosomatidae (Quail-thrushes and Jewel-babblers),
2496835,Cinclosoma ajax muscale,subspecies,Cinclosoma ajax muscale,subspecies,Passeriformes,Cinclosomatidae (Quail-thrushes and Jewel-babblers),
1110499,Cinclosoma alisteri,species,Cinclosoma alisteri,species,Passeriformes,Cinclosomatidae (Quail-thrushes and Jewel-babblers),
1110496,Cinclosoma castaneothorax,species,Cinclosoma castaneothorax,species,Passeriformes,Cinclosomatidae (Quail-thrushes and Jewel-babblers),
1110500,Cinclosoma castanotum,species,Cinclosoma castanotum,species,Passeriformes,Cinclosomatidae (Quail-thrushes and Jewel-babblers),
1110498,Cinclosoma cinnamomeum,species,Cinclosoma cinnamomeum,species,Passeriformes,Cinclosomatidae (Quail-thrushes and Jewel-babblers),
1641793,Cinclosoma clarum,species,Cinclosoma clarum,species,Passeriformes,Cinclosomatidae (Quail-thrushes and Jewel-babblers),
1110497,Cinclosoma marginatum,subspecies,Cinclosoma marginatum,species,Passeriformes,Cinclosomatidae (Quail-thrushes and Jewel-babblers),
1110510,Cinclosoma marginatum x Cinclosoma castanotum,species,,,,,hybrid
626376,Cinclosoma punctatum,species,Cinclosoma punctatum,species,Passeriformes,Cinclosomatidae (Quail-thrushes and Jewel-babblers),
127875,Cinclus cinclus,species,Cinclus cinclus,species,Passeriformes,Cinclidae (Dippers),
1740308,Cinclus leucocephalus,species,Cinclus leucocephalus,species,Passeriformes,Cinclidae (Dippers),
161649,Cinclus mexicanus,species,Cinclus mexicanus,species,Passeriformes,Cinclidae (Dippers),
245049,Cinclus pallasii,species,Cinclus pallasii,species,Passeriformes,Cinclidae (Dippers),
1314641,Cinnycerthia fulva,species,Cinnycerthia fulva,species,Passeriformes,Troglodytidae (Wrens),
1314640,Cinnycerthia olivascens,species,Cinnycerthia olivascens,species,Passeriformes,Troglodytidae (Wrens),
241533,Cinnycerthia peruana,species,Cinnycerthia peruana,species,Passeriformes,Troglodytidae (Wrens),
1851192,Cinnycerthia unirufa,species,Cinnycerthia unirufa,species,Passeriformes,Troglodytidae (Wrens),
451393,Cinnyricinclus femoralis,species,Arizelopsar femoralis,species,Passeriformes,Sturnidae (Starlings),taxonomy
381107,Cinnyricinclus leucogaster,species,Cinnyricinclus leucogaster,species,Passeriformes,Sturnidae (Starlings),
1071974,Cinnyris abbotti,species,Cinnyris sovimanga abbotti,subspecies,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),lump
234085,Cinnyris abbotti buchenorum,subspecies,Cinnyris sovimanga buchenorum,subspecies,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),taxonomy
282500,Cinnyris afer,species,Cinnyris afer,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
1333522,Cinnyris asiaticus,species,Cinnyris asiaticus,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
1333526,Cinnyris asiaticus asiaticus,subspecies,Cinnyris asiaticus asiaticus,subspecies,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
1492888,Cinnyris bouvieri,species,Cinnyris bouvieri,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
282501,Cinnyris chalybeus,species,Cinnyris chalybeus,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
570434,Cinnyris chloropygius,species,Cinnyris chloropygius,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
1664767,Cinnyris coccinigastrus,species,Cinnyris coccinigastrus,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
1071972,Cinnyris comorensis,species,Cinnyris comorensis,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
234090,Cinnyris coquerellii,species,Cinnyris coquerellii,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
1664793,Cinnyris cupreus,species,Cinnyris cupreus,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
1492890,Cinnyris fuelleborni,species,Cinnyris fuelleborni,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
2723991,Cinnyris gertrudis,species,Cinnyris gertrudis,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
1811346,Cinnyris habessinicus,species,Cinnyris habessinicus,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
233794,Cinnyris jugularis,species,Cinnyris jugularis,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
1454667,Cinnyris jugularis aurora,subspecies,Cinnyris jugularis aurora,group (monotypic),Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
2817074,Cinnyris jugularis idenburgi,subspecies,Cinnyris jugularis idenburgi,group (monotypic),Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
1454648,Cinnyris jugularis jugularis,subspecies,Cinnyris jugularis jugularis,subspecies,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
1454649,Cinnyris jugularis obscurior,subspecies,Cinnyris jugularis obscurior,subspecies,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
2761170,Cinnyris lotenius,species,Cinnyris lotenius,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
282497,Cinnyris loveridgei,species,Cinnyris loveridgei,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
1492911,Cinnyris ludovicensis,species,Cinnyris ludovicensis,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
1917284,Cinnyris manoensis,species,Cinnyris manoensis,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
632598,Cinnyris mariquensis,species,Cinnyris mariquensis,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
282498,Cinnyris mediocris,species,Cinnyris mediocris,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
1208738,Cinnyris minullus,species,Cinnyris minullus,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
282499,Cinnyris moreaui,species,Cinnyris moreaui,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
234095,Cinnyris notatus,species,Cinnyris notatus,species,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
234097,Cinnyris notatus moebii,subspecies,Cinnyris notatus moebii,group (monotypic),Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
234098,Cinnyris notatus notatus,subspecies,Cinnyris notatus notatus,group (monotypic),Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
234096,Cinnyris notatus voeltzkowi,subspecies,Cinnyris notatus voeltzkowi,group (monotypic),Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),
