GenBank_taxid,GenBank_name,GenBank_group,eBirdClements2023_Names,eBird_Group,reason,person,notes
866355,Anorrhinus tickelli,species,Anorrhinus tickelli,species,,,
1118833,Anous ceruleus,species,Anous ceruleus,species,,,
298326,Anous minutus,species,Anous minutus,species,,,
297802,Anous stolidus,species,Anous stolidus,species,,,
297803,Anous tenuirostris,species,Anous tenuirostris,species,,,
50365,Anser albifrons,species,Anser albifrons,species,,,
8843,Anser anser,species,Anser anser,species,,,
132585,Anser brachyrhynchus,species,Anser brachyrhynchus,species,,,
8849,Anser caerulescens,species,Anser caerulescens,species,,,
70340,Anser caerulescens caerulescens,subspecies,Anser caerulescens caerulescens,subspecies,,,
107021,Anser canagicus,species,Anser canagicus,species,,,
8845,Anser cygnoides,species,Anser cygnoides,species,,,
132586,Anser erythropus,species,Anser erythropus,species,,,
132587,Anser fabalis,species,Anser fabalis,species,,,
8846,Anser indicus,species,Anser indicus,species,,,
56281,Anser rossii,species,Anser rossii,species,,,
2606890,Anser serrirostris,species,Anser serrirostris,species,,,
2606891,Anser serrirostris rossicus,subspecies,Anser serrirostris rossicus,subspecies,,,
2606892,Anser serrirostris serrirostris,subspecies,Anser serrirostris serrirostris,subspecies,,,
8851,Anseranas semipalmata,species,Anseranas semipalmata,species,,,
245053,Anthipes monileger,species,Anthipes monileger,species,,,
2744973,Anthipes solitaris,species,Anthipes solitaris,species,,,
1492857,Anthobaphes violacea,species,Anthobaphes violacea,species,,,
2744904,Anthocephala berlepschi,species,Anthocephala berlepschi,species,,,
689203,Anthocephala floriceps,species,Anthocephala floriceps,species,,,
266366,Anthochaera carunculata,species,Anthochaera carunculata,species,,,
266367,Anthochaera chrysoptera,species,Anthochaera chrysoptera,species,,,
266368,Anthochaera lunulata,species,Anthochaera lunulata,species,,,
266369,Anthochaera paradoxa,species,Anthochaera paradoxa,species,,,
2020318,Anthochaera phrygia,species,Anthochaera phrygia,species,,,
1930942,Anthornis melanocephala,species,Anthornis melanocephala,species,,,
698975,Anthornis melanura,species,Anthornis melanura,species,,,
1715679,Anthoscopus caroli,species,Anthoscopus caroli,species,,,
156561,Anthoscopus minutus,species,Anthoscopus minutus,species,,,
208057,Anthoscopus musculus,species,Anthoscopus musculus,species,,,
1356361,Anthoscopus parvulus,species,Anthoscopus parvulus,species,,,
57395,Anthracoceros albirostris,species,Anthracoceros albirostris,species,,,
1303020,Anthracoceros coronatus,species,Anthracoceros coronatus,species,,,
175817,Anthracoceros malayanus,species,Anthracoceros malayanus,species,,,
1303021,Anthracoceros marchei,species,Anthracoceros marchei,species,,,
1303022,Anthracoceros montani,species,Anthracoceros montani,species,,,
584663,Anthracothorax dominicus,species,Anthracothorax dominicus,species,,,
304601,Anthracothorax mango,species,Anthracothorax mango,species,,,
118180,Anthracothorax nigricollis,species,Anthracothorax nigricollis,species,,,
214672,Anthracothorax prevostii,species,Anthracothorax prevostii,species,,,
584664,Anthracothorax veraguensis,species,Anthracothorax veraguensis,species,,,
584665,Anthracothorax viridigula,species,Anthracothorax viridigula,species,,,
190442,Anthracothorax viridis,species,Anthracothorax viridis,species,,,
1454385,Anthreptes griseigularis,species,Anthreptes griseigularis,species,,,
1454386,Anthreptes griseigularis birgitae,subspecies,Anthreptes griseigularis birgitae,subspecies,,,
233787,Anthreptes malacensis,species,Anthreptes malacensis,species,,,
2478752,Anthreptes malacensis malacensis,subspecies,Anthreptes malacensis malacensis,subspecies,,,
1454387,Anthreptes malacensis paraguae,subspecies,Anthreptes malacensis paraguae,subspecies,,,
233788,Anthreptes orientalis,species,Anthreptes orientalis,species,,,
667143,Anthreptes rectirostris,species,Anthreptes rectirostris,species,,,
2292719,Anthreptes rhodolaemus,species,Anthreptes rhodolaemus,species,,,
570427,Anthreptes seimundi,species,Anthreptes seimundi,species,,,
2478753,Anthreptes simplex,species,Anthreptes simplex,species,,,
2059864,Anthus antarcticus,species,Anthus antarcticus,species,,,
45798,Anthus berthelotii,species,Anthus berthelotii,species,,,
1930156,Anthus berthelotii berthelotii,subspecies,Anthus berthelotii berthelotii,subspecies,,,
1930157,Anthus berthelotii madeirensis,subspecies,Anthus berthelotii madeirensis,subspecies,,,
2059861,Anthus bogotensis,species,Anthus bogotensis,species,,,
211419,Anthus brachyurus,species,Anthus brachyurus,species,,,
2420046,Anthus brachyurus brachyurus,subspecies,Anthus brachyurus brachyurus,subspecies,,,
2419792,Anthus caffer,species,Anthus caffer,species,,,
2420044,Anthus caffer mzimbaensis,subspecies,Anthus caffer mzimbaensis,subspecies,,,
45800,Anthus campestris,species,Anthus campestris,species,,,
45805,Anthus cervinus,species,Anthus cervinus,species,,,
2059863,Anthus chacoensis,species,Anthus chacoensis,species,,,
211418,Anthus cinnamomeus,species,Anthus cinnamomeus,species,,,
2420047,Anthus cinnamomeus bocagii,subspecies,Anthus cinnamomeus bocagii,subspecies,,,
1002731,Anthus cinnamomeus itombwensis,subspecies,Anthus cinnamomeus itombwensis,subspecies,,,
1002732,Anthus cinnamomeus lacuum,subspecies,Anthus cinnamomeus lacuum,subspecies,,,
1603851,Anthus cinnamomeus lichenya,subspecies,Anthus cinnamomeus lichenya,subspecies,,,
2419989,Anthus cinnamomeus rufuloides,subspecies,Anthus cinnamomeus rufuloides,subspecies,,,
555219,Anthus correndera,species,Anthus correndera,species,,,
1603852,Anthus correndera chilensis,subspecies,Anthus correndera chilensis,subspecies,,,
2419725,Anthus crenatus,species,Anthus crenatus,species,,,
1118510,Anthus furcatus,species,Anthus furcatus,species,,,
670332,Anthus godlewskii,species,Anthus godlewskii,species,,,
670333,Anthus gustavi,species,Anthus gustavi,species,,,
910422,Anthus gustavi gustavi,subspecies,Anthus gustavi gustavi,subspecies,,,
1603853,Anthus gutturalis,species,Anthus gutturalis,species,,,
1603854,Anthus gutturalis rhododendri,subspecies,Anthus gutturalis rhododendri,subspecies,,,
1603855,Anthus gutturalis wollastoni,subspecies,Anthus gutturalis wollastoni,subspecies,,,
555220,Anthus hellmayri,species,Anthus hellmayri,species,,,
36258,Anthus hodgsoni,species,Anthus hodgsoni,species,,,
344227,Anthus hodgsoni hodgsoni,subspecies,Anthus hodgsoni hodgsoni,subspecies,,,
2212683,Anthus hoeschi,species,Anthus hoeschi,species,,,
1002729,Anthus leucophrys,species,Anthus leucophrys,species,,,
2419990,Anthus leucophrys leucophrys,subspecies,Anthus leucophrys leucophrys,subspecies,,,
1002730,Anthus lineiventris,species,Anthus lineiventris,species,,,
2059862,Anthus nattereri,species,Anthus nattereri,species,,,
2419793,Anthus nicholsoni,subspecies,Anthus nicholsoni,species,,,
1602263,Anthus nilghiriensis,species,Anthus nilghiriensis,species,,,
1108006,Anthus novaeseelandiae,species,Anthus novaeseelandiae,species,,,
1247835,Anthus nyassae,species,Anthus nyassae,species,,,
2420048,Anthus nyassae nyassae,subspecies,Anthus nyassae nyassae,subspecies,,,
1002733,Anthus pallidiventris,species,Anthus pallidiventris,species,,,
45801,Anthus petrosus,species,Anthus petrosus,species,,,
45803,Anthus pratensis,species,Anthus pratensis,species,,,
589645,Anthus pratensis pratensis,subspecies,Anthus pratensis pratensis,subspecies,,,
45799,Anthus richardi,species,Anthus richardi,species,,,
1463610,Anthus roseatus,species,Anthus roseatus,species,,,
279928,Anthus rubescens,species,Anthus rubescens,species,,,
1463608,Anthus rufulus,species,Anthus rufulus,species,,,
1463609,Anthus rufulus lugubris,subspecies,Anthus rufulus lugubris,subspecies,,,
1002734,Anthus similis,species,Anthus similis,species,,,
45802,Anthus spinoletta,species,Anthus spinoletta,species,,,
372285,Anthus spragueii,species,Anthus spragueii,species,,,
1463611,Anthus sylvanus,species,Anthus sylvanus,species,,,
45804,Anthus trivialis,species,Anthus trivialis,species,,,
1471606,Anthus trivialis trivialis,subspecies,Anthus trivialis trivialis,subspecies,,,
1002735,Anthus vaalensis,species,Anthus vaalensis,species,,,
2420032,Anthus vaalensis chobiensis,subspecies,Anthus vaalensis chobiensis,subspecies,,,
2420040,Anthus vaalensis neumanni,subspecies,Anthus vaalensis neumanni,subspecies,,,
2420027,Anthus vaalensis vaalensis,subspecies,Anthus vaalensis vaalensis,subspecies,,,
2717063,Antigone antigone,species,Antigone antigone,species,,,
34920,Antigone antigone antigone,subspecies,Antigone antigone antigone,subspecies,,,
34919,Antigone antigone gillae,subspecies,Antigone antigone gillae,subspecies,,,
34921,Antigone antigone sharpii,subspecies,Antigone antigone sharpii,subspecies,,,
1977160,Antigone canadensis,species,Antigone canadensis,species,,,
